hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
auto,auto/modeling_auto.py,_BaseModelWithGenerate,other,other,not_inference_required,,,,"Auto-class registry only — dynamic class-name lookup mapping strings to model classes. No nn.Module architectures, no compute primitives required."
autoformer,autoformer/modeling_autoformer.py,AutoformerStdScaler;AutoformerMeanScaler;AutoformerNOPScaler;AutoformerSinusoidalPositionalEmbedding;AutoformerValueEmbedding;AutoformerSeriesDecompositionLayer;AutoformerLayernorm;AutoformerAttention;AutoformerEncoderLayer;AutoformerDecoderLayer;AutoformerEncoder;AutoformerDecoder;AutoformerModel;AutoformerForPrediction,other,encoder-decoder,composable,AutoformerStdScaler->composes;AutoformerMeanScaler->composes;AutoformerNOPScaler->composes;AutoformerSinusoidalPositionalEmbedding->composes;AutoformerValueEmbedding->tasks/baseline/L1/embedding.py;AutoformerSeriesDecompositionLayer->composes;AutoformerLayernorm->composes;AutoformerAttention->tasks/baseline/L2/attention.py;AutoformerEncoderLayer->composes;AutoformerDecoderLayer->composes;AutoformerEncoder->composes;AutoformerDecoder->composes;AutoformerModel->composes;AutoformerForPrediction->composes,,autoformer/modeling_autoformer.py:160;autoformer/modeling_autoformer.py:196;autoformer/modeling_autoformer.py:251;autoformer/modeling_autoformer.py:312;autoformer/modeling_autoformer.py:347;autoformer/modeling_autoformer.py:359;autoformer/modeling_autoformer.py:388;autoformer/modeling_autoformer.py:404;autoformer/modeling_autoformer.py:606;autoformer/modeling_autoformer.py:666;autoformer/modeling_autoformer.py:819;autoformer/modeling_autoformer.py:901;autoformer/modeling_autoformer.py:1037;autoformer/modeling_autoformer.py:1403,Time-series encoder-decoder with auto-correlation attention (FFT-based) and series decomposition; nn.AvgPool1d at line 369. Auto-correlation uses torch.fft (composable from torch builtins). [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['avg_pool_1d'] [v5 inheritance] AutoformerSinusoidalPositionalEmbedding(Embedding)
aya_vision,aya_vision/modeling_aya_vision.py,AyaVisionMultiModalProjector;AyaVisionModel;AyaVisionForConditionalGeneration,multimodal,other,composable,AyaVisionMultiModalProjector->composes;AyaVisionModel->composes;AyaVisionForConditionalGeneration->composes,,aya_vision/modular_aya_vision.py:39;aya_vision/modular_aya_vision.py:101;aya_vision/modular_aya_vision.py:194,"Cohere-Aya VLM (SigLIP vision tower + Cohere/Llama text decoder); modular_aya_vision.py exists. All primitives covered. [v5 inheritance] AyaVisionPreTrainedModel(LlavaPreTrainedModel), AyaVisionCausalLMOutputWithPast(LlavaCausalLMOutputWithPast), AyaVisionModelOutputWithPast(LlavaModelOutputWithPast), AyaVisionModel(LlavaModel), AyaVisionForConditionalGeneration(LlavaForConditionalGeneration)"
bamba,bamba/modeling_bamba.py,BambaFlashAttentionKwargs;BambaRotaryEmbedding;BambaAttention;BambaRMSNormGated;BambaMixer;BambaMLP;BambaRMSNorm;BambaDecoderLayer;BambaModel;BambaForCausalLM,text,hybrid,composable,BambaFlashAttentionKwargs->composes;BambaRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;BambaAttention->tasks/baseline/L2/attention.py;BambaRMSNormGated->composes;BambaMixer->tasks/baseline/L2/mamba_mixer.py;BambaMLP->tasks/baseline/L2/llama_mlp.py;BambaRMSNorm->tasks/baseline/L1/rms_norm.py;BambaDecoderLayer->composes;BambaModel->composes;BambaForCausalLM->composes,,bamba/modular_bamba.py:60;bamba/modular_bamba.py:84;bamba/modular_bamba.py:127;bamba/modular_bamba.py:131;bamba/modular_bamba.py:136;bamba/modular_bamba.py:615;bamba/modular_bamba.py:619;bamba/modular_bamba.py:623;bamba/modular_bamba.py:709;bamba/modular_bamba.py:799,"Mamba2+attention hybrid. Mamba scan/causal_conv1d via vLLM imports (kb-nano L2 mamba_mixer.py). modular_bamba.py exists. [v5 inheritance] BambaFlashAttentionKwargs(TypedDict), BambaRotaryEmbedding(LlamaRotaryEmbedding), BambaAttention(LlamaAttention), BambaRMSNormGated(MambaRMSNormGated), BambaMLP(LlamaMLP)"
bark,bark/modeling_bark.py,BarkSelfAttention;BarkSelfFlashAttention2;BarkMLP;BarkBlock;BarkCausalModel;BarkSemanticModel;BarkCoarseModel;BarkFineModel;BarkModel,audio,decoder-only,composable,BarkSelfAttention->tasks/baseline/L2/encoder_attention.py;BarkSelfFlashAttention2->composes;BarkMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;BarkBlock->composes;BarkCausalModel->composes;BarkSemanticModel->composes;BarkCoarseModel->composes;BarkFineModel->composes;BarkModel->composes,,bark/modeling_bark.py:66;bark/modeling_bark.py:177;bark/modeling_bark.py:259;bark/modeling_bark.py:275;bark/modeling_bark.py:360;bark/modeling_bark.py:526;bark/modeling_bark.py:642;bark/modeling_bark.py:866;bark/modeling_bark.py:1261,Bark TTS — GPT-style decoder over discrete audio codec tokens. Standard decoder primitives.
bart,bart/modeling_bart.py,BartLearnedPositionalEmbedding;BartScaledWordEmbedding;BartAttention;BartEncoderLayer;BartDecoderLayer;BartClassificationHead;PretrainedBartModel;BartPretrainedModel;BartEncoder;BartDecoder;BartModel;BartForConditionalGeneration;BartForSequenceClassification;BartForQuestionAnswering;BartDecoderWrapper;BartForCausalLM,text,encoder-decoder,composable,BartLearnedPositionalEmbedding->composes;BartScaledWordEmbedding->tasks/baseline/L1/embedding.py;BartAttention->tasks/baseline/L2/attention.py;BartEncoderLayer->composes;BartDecoderLayer->composes;BartClassificationHead->composes;PretrainedBartModel->composes;BartPretrainedModel->composes;BartEncoder->composes;BartDecoder->composes;BartModel->composes;BartForConditionalGeneration->composes;BartForSequenceClassification->composes;BartForQuestionAnswering->composes;BartDecoderWrapper->composes;BartForCausalLM->composes,,bart/modeling_bart.py:74;bart/modeling_bart.py:101;bart/modeling_bart.py:143;bart/modeling_bart.py:260;bart/modeling_bart.py:311;bart/modeling_bart.py:393;bart/modeling_bart.py:447;bart/modeling_bart.py:455;bart/modeling_bart.py:463;bart/modeling_bart.py:552;bart/modeling_bart.py:680;bart/modeling_bart.py:801;bart/modeling_bart.py:970;bart/modeling_bart.py:1095;bart/modeling_bart.py:1200;bart/modeling_bart.py:1220,"Standard seq2seq transformer (BART/Pegasus family). EncoderDecoderCache composable from two stacked KV caches per pilot decision. [v5 inheritance] BartLearnedPositionalEmbedding(Embedding), BartScaledWordEmbedding(Embedding)"
barthez,,,unknown,,not_inference_required,,,,Folder contains only tokenization_barthez.py and tokenization_barthez_fast.py; no PyTorch architecture (re-uses BART/mBART). NO_PT_MODELING.
bartpho,,,none,other,not_inference_required,,,,Folder has no PyTorch modeling file — tokenizer wrappers only (tokenization_bartpho.py); reuses BART/mBART architecture.
beit,beit/modeling_beit.py,BeitDropPath;BeitEmbeddings;BeitPatchEmbeddings;BeitSelfAttention;BeitSdpaSelfAttention;BeitAttention;BeitIntermediate;BeitLayer;BeitRelativePositionBias;BeitEncoder;BeitModel;BeitPooler;BeitForMaskedImageModeling;BeitForImageClassification;BeitConvModule;BeitPyramidPoolingBlock;BeitPyramidPoolingModule;BeitUperHead;BeitFCNHead;BeitForSemanticSegmentation;BeitBackbone,vision,vision-encoder,composable,BeitDropPath->composes;BeitEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;BeitPatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;BeitSelfAttention->tasks/baseline/L2/encoder_attention.py;BeitSdpaSelfAttention->tasks/baseline/L2/encoder_attention.py;BeitAttention->composes;BeitIntermediate->tasks/baseline/L2/encoder_mlp.py;BeitLayer->composes;BeitRelativePositionBias->composes;BeitEncoder->composes;BeitModel->composes;BeitPooler->composes;BeitForMaskedImageModeling->composes;BeitForImageClassification->composes;BeitConvModule->composes;BeitPyramidPoolingBlock->composes;BeitPyramidPoolingModule->composes;BeitUperHead->composes;BeitFCNHead->composes;BeitForSemanticSegmentation->composes;BeitBackbone->composes,,beit/modeling_beit.py:76;beit/modeling_beit.py:92;beit/modeling_beit.py:187;beit/modeling_beit.py:225;beit/modeling_beit.py:298;beit/modeling_beit.py:373;beit/modeling_beit.py:397;beit/modeling_beit.py:426;beit/modeling_beit.py:489;beit/modeling_beit.py:572;beit/modeling_beit.py:674;beit/modeling_beit.py:745;beit/modeling_beit.py:772;beit/modeling_beit.py:873;beit/modeling_beit.py:932;beit/modeling_beit.py:969;beit/modeling_beit.py:986;beit/modeling_beit.py:1023;beit/modeling_beit.py:1108;beit/modeling_beit.py:1168;beit/modeling_beit.py:1318,"BeitModel + ForImageClassification + ForMaskedImageModeling are composable. ForSemanticSegmentation uses nn.AdaptiveAvgPool2d (973) and nn.ConvTranspose2d (1183-1189, 1335-1341) — [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['adaptive_avg_pool_2d', 'conv_transpose2d'] [v5 inheritance] BeitModelOutputWithPooling(BaseModelOutputWithPooling)"
bert,bert/modeling_bert.py,BertEmbeddings;BertSelfAttention;BertCrossAttention;BertAttention;BertIntermediate;BertLayer;BertEncoder;BertPooler;BertPredictionHeadTransform;BertLMPredictionHead;BertOnlyMLMHead;BertOnlyNSPHead;BertPreTrainingHeads;BertModel;BertForPreTraining;BertLMHeadModel;BertForMaskedLM;BertForNextSentencePrediction;BertForSequenceClassification;BertForMultipleChoice;BertForTokenClassification;BertForQuestionAnswering,text,encoder,composable,BertEmbeddings->tasks/baseline/L2/encoder_embeddings.py;BertSelfAttention->tasks/baseline/L2/encoder_attention.py;BertCrossAttention->tasks/baseline/L2/encoder_attention.py;BertAttention->composes;BertIntermediate->tasks/baseline/L2/encoder_mlp.py;BertLayer->tasks/baseline/L3/bert_layer.py;BertEncoder->tasks/baseline/L3/bert_encoder.py;BertPooler->composes;BertPredictionHeadTransform->composes;BertLMPredictionHead->composes;BertOnlyMLMHead->composes;BertOnlyNSPHead->composes;BertPreTrainingHeads->composes;BertModel->composes;BertForPreTraining->composes;BertLMHeadModel->composes;BertForMaskedLM->composes;BertForNextSentencePrediction->composes;BertForSequenceClassification->composes;BertForMultipleChoice->composes;BertForTokenClassification->composes;BertForQuestionAnswering->composes,,bert/modeling_bert.py:53;bert/modeling_bert.py:143;bert/modeling_bert.py:210;bert/modeling_bert.py:300;bert/modeling_bert.py:329;bert/modeling_bert.py:358;bert/modeling_bert.py:423;bert/modeling_bert.py:455;bert/modeling_bert.py:470;bert/modeling_bert.py:487;bert/modeling_bert.py:503;bert/modeling_bert.py:513;bert/modeling_bert.py:523;bert/modeling_bert.py:598;bert/modeling_bert.py:731;bert/modeling_bert.py:828;bert/modeling_bert.py:913;bert/modeling_bert.py:994;bert/modeling_bert.py:1076;bert/modeling_bert.py:1157;bert/modeling_bert.py:1255;bert/modeling_bert.py:1315,EncoderDecoderCache for BertLMHeadModel decoder mode is composed from 2x DynamicCache (verified at modeling_bert.py:650). BERT has no L4 in kb-nano; closest is L3 bert_encoder.py.
bert_generation,bert_generation/modeling_bert_generation.py,BertGenerationSelfAttention;BertGenerationCrossAttention;BertGenerationAttention;BertGenerationIntermediate;BertGenerationLayer;BertEncoder;BertGenerationEmbeddings;BertGenerationEncoder;BertGenerationOnlyLMHead;BertGenerationDecoder,text,decoder-only,composable,BertGenerationSelfAttention->tasks/baseline/L2/encoder_attention.py;BertGenerationCrossAttention->tasks/baseline/L2/encoder_attention.py;BertGenerationAttention->composes;BertGenerationIntermediate->tasks/baseline/L2/encoder_mlp.py;BertGenerationLayer->composes;BertEncoder->composes;BertGenerationEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;BertGenerationEncoder->composes;BertGenerationOnlyLMHead->composes;BertGenerationDecoder->composes,,bert_generation/modeling_bert_generation.py:89;bert_generation/modeling_bert_generation.py:157;bert_generation/modeling_bert_generation.py:234;bert_generation/modeling_bert_generation.py:264;bert_generation/modeling_bert_generation.py:295;bert_generation/modeling_bert_generation.py:361;bert_generation/modeling_bert_generation.py:394;bert_generation/modeling_bert_generation.py:460;bert_generation/modeling_bert_generation.py:592;bert_generation/modeling_bert_generation.py:608,BERT used as causal LM (decoder-only mode). Same primitives as bert; covered.
bert_japanese,,,none,other,not_inference_required,,,,Folder has no PyTorch modeling file — tokenizer-only (BERT-Japanese WordPiece variant); reuses BERT architecture.
