layer,file,class_name,parents,module_doc_first_line,class_doc_first_line
L1,tasks/baseline/L1/chunk_retention.py,ChunkRetention,nn.Module,Chunk RetNet — Triton-accelerated chunked prefill kernel.,Triton chunk RetNet kernel.
L1,tasks/baseline/L1/chunk_rwkv7.py,ChunkRWKV7,nn.Module,Chunk RWKV7 — Triton-accelerated chunked prefill kernel.,Triton chunk RWKV7 kernel.
L1,tasks/baseline/L1/compile_mode.py,,,Global flag controlling whether modules dispatch to native PyTorch,
L1,tasks/baseline/L1/conv1d.py,Conv1d,nn.Module,Conv1d wrapper around nn.Conv1d.,
L1,tasks/baseline/L1/conv1d_native.py,Conv1dNative,nn.Module,Conv1d parametric op with direct ``weight``/``bias`` (state_dict-compat with nn.Conv1d).,Parametric 1-D convolution.  Forward dispatches to ``F.conv1d``.
L1,tasks/baseline/L1/conv2d.py,Conv2d,nn.Module,Conv2d parametric op wrapping F.conv2d.,Parametric 2D convolution: stores weight and bias internally.
L1,tasks/baseline/L1/conv3d.py,Conv3d,nn.Module,Conv3d wrapper around nn.Conv3d.,Conv3D wrapper matching vllm's Conv3dLayer interface.
L1,tasks/baseline/L1/conv_transpose1d.py,ConvTranspose1d,nn.Module,ConvTranspose1d parametric op wrapping F.conv_transpose1d.,Parametric 1-D transposed convolution.  Forward dispatches to
L1,tasks/baseline/L1/conv_transpose2d.py,ConvTranspose2d,nn.Module,ConvTranspose2d parametric op wrapping F.conv_transpose2d.,Parametric 2-D transposed convolution. Forward dispatches to
L1,tasks/baseline/L1/conv_transpose3d.py,ConvTranspose3d,nn.Module,ConvTranspose3d parametric op wrapping F.conv_transpose3d.,Parametric 3-D transposed convolution. Forward dispatches to
L1,tasks/baseline/L1/convert_indices.py,ConvertIndicesToGlobal,nn.Module,Convert request-local token indices to global paged cache slots.,Map per-request token indices to global linear cache slots.
L1,tasks/baseline/L1/custom_ops.py,,,Register opaque kernels as torch.library custom ops for torch.compile.,
L1,tasks/baseline/L1/dense_attention.py,DenseAttention,nn.Module,Dense (non-paged) multi-head attention.,Dense multi-head attention.
L1,tasks/baseline/L1/diffusion_rope.py,DiffusionRoPE,nn.Module,Rotary position embedding for diffusion models (interleaved / GPT-J style).,"Apply rotary embeddings given pre-computed (cos, sin) tensors."
L1,tasks/baseline/L1/dinov3_rope.py,DINOv3RoPE,nn.Module,DINOv3 2D rotary position embedding (L1).,DINOv3 2D rotary position embedding.
L1,tasks/baseline/L1/dp3_sinusoidal_pos_emb.py,DP3SinusoidalPosEmb,nn.Module,Sinusoidal position embedding for DP3 diffusion timestep encoding.,Sinusoidal embedding with the standard log(10000) frequency schedule.
L1,tasks/baseline/L1/dropout.py,Dropout,nn.Module,Dropout wrapping F.dropout.,
L1,tasks/baseline/L1/eagle_tree_ops.py,TreeMaskMode,IntEnum,EAGLE-3 tree-construction and tree-verify CUDA ops.,
L1,tasks/baseline/L1/elu.py,ELU,nn.Module,ELU wrapping F.elu (explicit L1 op for benchmark scaffolding).,
L1,tasks/baseline/L1/embedding.py,Embedding,nn.Module,Embedding lookup kernel: wraps nn.Embedding.,
L1,tasks/baseline/L1/embedding_bag.py,EmbeddingBag,nn.Module,EmbeddingBag lookup primitive for recommender models.,
L1,tasks/baseline/L1/flash_attn_decode.py,FlashAttnDecode,nn.Module,Flash attention decode kernel (with paged KV cache).,
L1,tasks/baseline/L1/flash_attn_dense.py,FlashAttnDense,nn.Module,Dense (non-varlen) Flash Attention forward (L1).,Dense Flash Attention.
L1,tasks/baseline/L1/flash_attn_prefill.py,FlashAttnPrefill,nn.Module,Flash attention prefill kernel (variable-length sequences).,
L1,tasks/baseline/L1/flash_attn_varlen.py,FlashAttnVarlen,nn.Module,Variable-length Flash Attention (no KV cache lookup).,Variable-length Flash Attention without paged KV cache lookup.
L1,tasks/baseline/L1/flash_mla_decode.py,FlashMLADecode,nn.Module,FlashMLA decode kernels for MLA (Multi-head Latent Attention).,Wraps ``flash_mla_with_kvcache`` for paged MLA decode.
L1,tasks/baseline/L1/flash_mla_decode.py,FlashMLADecodeFP8,nn.Module,FlashMLA decode kernels for MLA (Multi-head Latent Attention).,Dense FP8 decode wrapper matching vLLM's ``flash_mla_with_kvcache_fp8``.
L1,tasks/baseline/L1/flash_mla_decode.py,FlashMLAGetMetadata,nn.Module,FlashMLA decode kernels for MLA (Multi-head Latent Attention).,
L1,tasks/baseline/L1/flash_mla_decode.py,FlashMLAGetMetadataDenseFP8,nn.Module,FlashMLA decode kernels for MLA (Multi-head Latent Attention).,Wraps ``get_mla_metadata_dense_fp8`` for the FP8 dense decode kernel.
L1,tasks/baseline/L1/flash_mla_prefill.py,FlashMLAPrefill,nn.Module,FlashMLA prefill kernel for MLA (Multi-head Latent Attention).,Wraps flash_mla.flash_attn_varlen_func for variable-length MLA prefill.
L1,tasks/baseline/L1/flash_mla_sparse_prefill.py,FlashMLASparsePrefill,nn.Module,FlashMLA sparse prefill for DSA (DeepSeek Sparse Attention).,Wraps flash_mla.flash_mla_sparse_fwd for sparse BF16 prefill.
L1,tasks/baseline/L1/flashinfer_decode.py,TRTLLMDecode,nn.Module,"TRTLLM-gen paged attention decode kernel (via FlashInfer, Blackwell only).",
L1,tasks/baseline/L1/flashinfer_moe.py,FlashInferFusedMoE,nn.Module,FlashInfer native CUDA MoE kernels with GPU architecture dispatch.,Monolithic FlashInfer MoE kernel with GPU architecture dispatch.
L1,tasks/baseline/L1/flashinfer_prefill.py,TRTLLMPrefill,nn.Module,"TRTLLM-gen paged attention prefill kernel (via FlashInfer, Blackwell only).",
L1,tasks/baseline/L1/flux_pos_embed.py,FluxPosEmbed,nn.Module,2D rotary position embeddings for FLUX (concatenated per-axis 1D embeddings).,2D rotary position embeddings for FLUX.
L1,tasks/baseline/L1/fp8_block_scaled_mm.py,W8A8BlockScaledMM,nn.Module,Block-scaled FP8 GEMM: DeepGEMM (preferred) with Triton fallback.,Block-scaled FP8 matrix multiplication.
L1,tasks/baseline/L1/fp8_grouped_gemm_contiguous.py,Fp8GroupedGemmContiguous,nn.Module,DeepGEMM grouped FP8 GEMM for MoE expert execution.,"Grouped FP8 GEMM: ``(A_fp8, a_scale) @ (B_fp8, b_scale) -> C_bf16``."
L1,tasks/baseline/L1/fp8_linear.py,PerTokenGroupQuantFp8,nn.Module,FP8 linear (block-scaled FP8 matrix multiply) with vLLM-parity dispatch.,In-place per-token-group FP8 quantization (single Triton/CUDA kernel).
L1,tasks/baseline/L1/fp8_linear.py,_Fp8PrefillBufs,,FP8 linear (block-scaled FP8 matrix multiply) with vLLM-parity dispatch.,Shared prefill buffers for FP8 activation quantization.
L1,tasks/baseline/L1/fp8_linear.py,Fp8Linear,nn.Module,FP8 linear (block-scaled FP8 matrix multiply) with vLLM-parity dispatch.,Block-scaled FP8 linear using deep_gemm.fp8_gemm_nt.
L1,tasks/baseline/L1/fp8_moe_grouped_gemm.py,FP8MoeGroupedGemm,nn.Module,Triton fused MoE grouped GEMM kernel with FP8 W8A8 block-scaled quantization.,FP8 W8A8 block-scaled MoE grouped GEMM.
L1,tasks/baseline/L1/fp8_mqa_logits.py,Fp8MQALogits,nn.Module,FP8 MQA logits for DSA indexer via DeepGEMM.,FP8 MQA logits for the DSA indexer.
L1,tasks/baseline/L1/fp8_mqa_logits.py,Fp8PagedMQALogitsMetadata,nn.Module,FP8 MQA logits for DSA indexer via DeepGEMM.,Scheduling metadata for paged MQA logits (DeepGEMM).
L1,tasks/baseline/L1/fp8_quant.py,PerTokenGroupQuantFP8,nn.Module,Per-token-group FP8 activation quantization.,Quantize BF16 activations to FP8 with per-token-group scaling.
L1,tasks/baseline/L1/frozen_batch_norm2d.py,FrozenBatchNorm2d,nn.Module,Frozen BatchNorm2d for detection backbones.,
L1,tasks/baseline/L1/fused_recurrent_gla.py,FusedRecurrentGLA,nn.Module,Fused recurrent GLA — Triton-accelerated decode kernel.,Triton fused-recurrent GLA kernel.
L1,tasks/baseline/L1/fused_recurrent_retention.py,FusedRecurrentRetention,nn.Module,Fused recurrent RetNet — Triton-accelerated decode kernel.,Triton fused-recurrent retention kernel.
L1,tasks/baseline/L1/fused_recurrent_rwkv7.py,FusedRecurrentRWKV7,nn.Module,Fused recurrent RWKV7 — Triton-accelerated decode kernel.,Triton fused-mul-recurrent RWKV7 kernel.
L1,tasks/baseline/L1/fused_rmsnorm_fp8.py,FusedRMSNormFP8Quant,nn.Module,Fused RMSNorm + FP8 group quantization.,Fused residual-add + RMSNorm + FP8 group quantization.
L1,tasks/baseline/L1/gate_linear.py,GateLinear,nn.Module,DeepSeek MoE router gate matmul (BF16 x BF16 -> FP32) with vLLM parity.,DeepSeek MoE router gate matmul with vLLM-parity three-tier dispatch.
L1,tasks/baseline/L1/gaussian_projection.py,GaussianProjection,nn.Module,3D Gaussian projection to 2D image space.,
L1,tasks/baseline/L1/gaussian_rasterize.py,GaussianRasterize,nn.Module,Rasterize projected 2D Gaussians to pixels.,
L1,tasks/baseline/L1/gaussian_tile_intersection.py,GaussianTileIntersection,nn.Module,Tile intersection utilities for Gaussian splatting.,
L1,tasks/baseline/L1/gdn_recurrence.py,GDNChunkPrefill,nn.Module,Gated Delta Net (GDN) recurrence (L1).,"FlashInfer chunked GDN prefill (Hopper, SM90+)."
L1,tasks/baseline/L1/gdn_recurrence.py,GDNFusedRecurrent,nn.Module,Gated Delta Net (GDN) recurrence (L1).,vLLM-bundled FLA fused recurrent GDN kernel (decode path).
L1,tasks/baseline/L1/gelu.py,GELU,nn.Module,GELU activation (via torch.nn.functional.gelu).,
L1,tasks/baseline/L1/gelu_and_mul.py,GeluAndMul,nn.Module,GELU-and-mul activation for packed gate/up projections.,Apply GELU to the gate half and multiply by the up half.
L1,tasks/baseline/L1/gemma4_routing.py,Gemma4Routing,nn.Module,Gemma4 MoE routing.,"Softmax over all experts, top-k select, then top-k renormalize."
L1,tasks/baseline/L1/gemma_rms_norm.py,GemmaRMSNorm,nn.Module,GemmaRMSNorm: RMSNorm where the stored weight is an offset from 1.0.,RMSNorm with weight stored as offset from 1.0 (Gemma convention).
L1,tasks/baseline/L1/gla_recurrence.py,NaiveRecurrentGLA,nn.Module,Naive recurrent GLA (Gated Linear Attention) kernel.,nn.Module wrapper around `naive_recurrent_gla` for L1 compliance.
L1,tasks/baseline/L1/global_avg_pool2d.py,GlobalAvgPool2d,nn.Module,Global average pooling over spatial NCHW dimensions.,
L1,tasks/baseline/L1/grid_sample.py,GridSample,nn.Module,GridSample wrapping F.grid_sample.,
L1,tasks/baseline/L1/grn.py,GRN,nn.Module,Global Response Normalization for ConvNeXtV2-style channels-last activations.,
L1,tasks/baseline/L1/group_norm.py,GroupNorm,nn.Module,GroupNorm wrapping F.group_norm with learnable affine parameters.,Group normalization with optional learnable weight and bias.
L1,tasks/baseline/L1/grouped_topk.py,GroupedTopK,nn.Module,Grouped top-k routing for DeepSeek-style MoE.,Functional grouped top-k router.
L1,tasks/baseline/L1/hardsigmoid.py,Hardsigmoid,nn.Module,Hardsigmoid wrapping F.hardsigmoid (explicit L1 op for benchmark scaffolding).,
L1,tasks/baseline/L1/hardswish.py,Hardswish,nn.Module,Hardswish wrapping F.hardswish (explicit L1 op for benchmark scaffolding).,
L1,tasks/baseline/L1/hunyuan_video_rope.py,HunyuanVideo15RotaryPosEmbed,nn.Module,3D rotary position embedding frequency generator for HunyuanVideo-1.5.,
L1,tasks/baseline/L1/indexer_k_cache.py,IndexerKCacheStore,nn.Module,Indexer K cache store and gather for DSA (132 bytes/token).,Quantize K to FP8 and store in indexer paged cache via CUDA kernel.
L1,tasks/baseline/L1/indexer_k_cache.py,IndexerKCacheGather,nn.Module,Indexer K cache store and gather for DSA (132 bytes/token).,Gather K from indexer paged cache in FP8 form via CUDA kernel.
L1,tasks/baseline/L1/instantngp_direction_encoding.py,InstantNGPDirectionEncoding,nn.Module,InstantNGP direction encoding wrapper built on tinycudann.,
L1,tasks/baseline/L1/instantngp_fused_mlp.py,InstantNGPFullyFusedMLP,nn.Module,InstantNGP fully fused MLP wrapper built on tinycudann.,
L1,tasks/baseline/L1/instantngp_hashgrid.py,InstantNGPHashGrid,nn.Module,InstantNGP hash-grid encoding wrapper built on tinycudann.,
L1,tasks/baseline/L1/interpolate.py,Interpolate,nn.Module,Interpolate wrapping F.interpolate.,
L1,tasks/baseline/L1/kda_recurrence.py,KDAGate,nn.Module,KDA (Kimi Delta Attention) recurrence (L1).,Wrap FLA's ``fused_kda_gate`` (forget-gate fusion in log space).
L1,tasks/baseline/L1/kda_recurrence.py,KDARecurrence,nn.Module,KDA (Kimi Delta Attention) recurrence (L1).,Fused KDA Delta-Net recurrence (FLA Triton kernel).
L1,tasks/baseline/L1/l2_norm.py,L2Norm,nn.Module,L2 normalization along a single dimension: x / ||x||_2.,
L1,tasks/baseline/L1/l2norm_kernel.py,L2NormFwd,nn.Module,Fused L2-norm forward kernel (L1).,Fused Triton L2-norm matching vLLM's numerics.
L1,tasks/baseline/L1/layer_norm.py,LayerNorm,nn.Module,Standard LayerNorm wrapping F.layer_norm with optional affine parameters.,
L1,tasks/baseline/L1/layer_norm2d.py,LayerNorm2d,nn.Module,LayerNorm over channels for NCHW image tensors.,
L1,tasks/baseline/L1/leaky_relu.py,LeakyReLU,nn.Module,LeakyReLU wrapping F.leaky_relu.,
L1,tasks/baseline/L1/linear.py,Matmul,nn.Module,Linear (matrix multiply) kernels.,"Pure functional linear: takes input, weight, and optional bias as forward args."
L1,tasks/baseline/L1/linear.py,BMM,nn.Module,Linear (matrix multiply) kernels.,"Batch matrix multiply: torch.matmul(a, b)."
L1,tasks/baseline/L1/linear.py,Linear,nn.Module,Linear (matrix multiply) kernels.,Parametric linear: stores weight and bias internally.
L1,tasks/baseline/L1/log_sigmoid.py,LogSigmoid,nn.Module,Log-sigmoid activation: log(1 / (1 + exp(-x))) = -softplus(-x).,
L1,tasks/baseline/L1/lstm.py,LSTM,nn.Module,LSTM wrapping torch.nn.LSTM.,Standard LSTM wrapping ``torch.nn.LSTM``.
L1,tasks/baseline/L1/max_pool1d.py,MaxPool1d,nn.Module,MaxPool1d wrapping F.max_pool1d directly.,
L1,tasks/baseline/L1/max_pool2d.py,MaxPool2d,nn.Module,MaxPool2d wrapping F.max_pool2d.,
L1,tasks/baseline/L1/merge_attn_states.py,MergeAttnStates,nn.Module,Online softmax merge for two attention partitions.,Online softmax merge of two attention partitions.
L1,tasks/baseline/L1/merge_state.py,,,Softmax-LSE state merge for cascade attention.,
L1,tasks/baseline/L1/mish.py,Mish,nn.Module,Mish activation: x * tanh(softplus(x)).,
L1,tasks/baseline/L1/moe_align.py,MoeAlign,nn.Module,MoE token-to-expert alignment with block padding.,MoE token-to-expert alignment using sgl_kernel.
L1,tasks/baseline/L1/moe_grouped_gemm.py,MoeGroupedGemm,nn.Module,Triton fused MoE grouped GEMM kernel with FP8 W8A8 block-scaled support.,
L1,tasks/baseline/L1/moe_permute.py,MoePermute,nn.Module,Fused MoE permute for DeepGEMM contiguous layout.,Fused FP8 MoE permute into DeepGEMM contiguous layout.
L1,tasks/baseline/L1/moe_sum.py,MoeSum,nn.Module,Fused MoE sum kernel: reduces top-k expert outputs into final output.,Fused top-k reduction for MoE outputs using sgl_kernel.
L1,tasks/baseline/L1/moe_unpermute_reduce.py,MoeUnpermuteReduce,nn.Module,Fused MoE unpermute + weighted reduce via Triton.,Fused unpermute + weighted reduce for MoE expert outputs.
L1,tasks/baseline/L1/mrope.py,MRotaryEmbedding,nn.Module,Multi-dimensional Rotary Position Embedding (M-RoPE) for Qwen VL models.,M-RoPE for Qwen2-VL / Qwen3-VL.
L1,tasks/baseline/L1/mrope_input_positions.py,MRopeInputPositions,nn.Module,Compute M-RoPE 3D position indices for text+vision token sequences.,Stateless module that computes M-RoPE 3D positions from token layout.
L1,tasks/baseline/L1/mxfp4_moe.py,Mxfp4MoEQuantConfig,,MXFP4-native fused MoE primitive backed by the OAI Triton kernels.,Minimal quant config carrying the per-MoE precision/bias tensors.
L1,tasks/baseline/L1/mxfp4_moe.py,Mxfp4MoE,nn.Module,MXFP4-native fused MoE primitive backed by the OAI Triton kernels.,MXFP4-quantized fused MoE primitive (routing + matmul_ogs experts).
L1,tasks/baseline/L1/oasis_rotary.py,OasisRotaryEmbedding,nn.Module,Rotary embedding helpers used by Oasis.,
L1,tasks/baseline/L1/openfold3_attention.py,OF3Attention,nn.Module,Multi-head attention with bias list support for AlphaFold3.,Standard multi-head attention with gating and bias list support.
L1,tasks/baseline/L1/openfold3_outer_product_mean.py,OuterProductMean,nn.Module,Outer product mean for AlphaFold3.,AF3 Algorithm 9: Outer product mean.
L1,tasks/baseline/L1/openfold3_swiglu.py,SwiGLU,nn.Module,SwiGLU activation and transition for AlphaFold3.,SwiGLU activation: SiLU(Wa x) * Wb x.
L1,tasks/baseline/L1/openfold3_swiglu.py,AdaLN,nn.Module,SwiGLU activation and transition for AlphaFold3.,Adaptive Layer Normalization matching the reference AdaLN.
L1,tasks/baseline/L1/openfold3_swiglu.py,SwiGLUTransition,nn.Module,SwiGLU activation and transition for AlphaFold3.,AF3 Algorithm 11: SwiGLU-based transition.
L1,tasks/baseline/L1/openfold3_swiglu.py,ConditionedTransitionBlock,nn.Module,SwiGLU activation and transition for AlphaFold3.,AF3 Algorithm 25: SwiGLU transition with AdaLN-Zero conditioning.
L1,tasks/baseline/L1/openfold3_triangle_attention.py,TriangleAttention,nn.Module,Triangle attention for AlphaFold3.,AF3 Algorithms 14/15: Triangle attention.
L1,tasks/baseline/L1/openfold3_triangle_attention.py,TriangleAttentionEndingNode,TriangleAttention,Triangle attention for AlphaFold3.,AF3 Algorithm 15.
L1,tasks/baseline/L1/openfold3_triangle_multiplication.py,TriangleMultiplicativeUpdate,nn.Module,Triangle multiplicative update for AlphaFold3.,AF3 Algorithms 12/13: Triangle multiplicative update.
L1,tasks/baseline/L1/openfold3_triangle_multiplication.py,TriangleMultiplicationOutgoing,TriangleMultiplicativeUpdate,Triangle multiplicative update for AlphaFold3.,AF3 Algorithm 12.
L1,tasks/baseline/L1/openfold3_triangle_multiplication.py,TriangleMultiplicationIncoming,TriangleMultiplicativeUpdate,Triangle multiplicative update for AlphaFold3.,AF3 Algorithm 13.
L1,tasks/baseline/L1/pointtransformerv3_offsets.py,Offset2Bincount,nn.Module,Offset/batch conversion helpers for point cloud batches.,
L1,tasks/baseline/L1/pointtransformerv3_offsets.py,Offset2Batch,nn.Module,Offset/batch conversion helpers for point cloud batches.,
L1,tasks/baseline/L1/pointtransformerv3_offsets.py,Batch2Offset,nn.Module,Offset/batch conversion helpers for point cloud batches.,
L1,tasks/baseline/L1/pointtransformerv3_serialization.py,_KeyLUT,,PointTransformerV3 serialization helpers.,
L1,tasks/baseline/L1/pointtransformerv3_serialization.py,PointTransformerV3Serialization,nn.Module,PointTransformerV3 serialization helpers.,
L1,tasks/baseline/L1/quickgelu.py,QuickGELU,nn.Module,QuickGELU activation: x * sigmoid(1.702 * x).,
L1,tasks/baseline/L1/relu.py,ReLU,nn.Module,"ReLU activation: max(0, x).",
L1,tasks/baseline/L1/retnet_recurrence.py,NaiveRecurrentRetention,nn.Module,Naive recurrent retention kernel.,nn.Module wrapper around `naive_recurrent_retention` for L1 compliance.
L1,tasks/baseline/L1/rms_norm.py,RMSNorm,nn.Module,RMSNorm with dual dispatch: CUDA custom op (eager) and pure-PyTorch (compiled).,
L1,tasks/baseline/L1/rms_norm_gated.py,RMSNormGated,nn.Module,Gated RMSNorm with element-wise multiplicative gate (L1).,"Fused gated RMSNorm: ``out = activation(z) * RMSNorm(x, weight)``."
L1,tasks/baseline/L1/rms_norm_native.py,RMSNormNative,nn.Module,"Pure-PyTorch RMSNorm L1 op (fp32-internal, autograd-friendly).",
L1,tasks/baseline/L1/rmsnorm_quant.py,RMSNormFP8Quant,nn.Module,Fused RMSNorm + per-token-group FP8 quantization.,Fused RMSNorm + per-token-group FP8 quantization.
L1,tasks/baseline/L1/rmsnorm_quant.py,FusedAddRMSNormFP8Quant,nn.Module,Fused RMSNorm + per-token-group FP8 quantization.,Fused residual-add + RMSNorm + per-token-group FP8 quantization.
L1,tasks/baseline/L1/rotary_emb.py,RotaryEmbedding,nn.Module,"Rotary position embeddings (RoPE), with optional Llama 3.1-style frequency scaling.",RoPE with optional Llama 3.1-style frequency scaling.
L1,tasks/baseline/L1/rotary_emb.py,Gemma4ProportionalRotaryEmbedding,RotaryEmbedding,"Rotary position embeddings (RoPE), with optional Llama 3.1-style frequency scaling.",Gemma4 proportional RoPE.
L1,tasks/baseline/L1/rtdetrv2_deformable_attention.py,MultiScaleDeformableAttentionV2,nn.Module,RTDetrV2 multi-scale deformable attention primitive.,RTDetrV2 multi-scale deformable attention sampling primitive.
L1,tasks/baseline/L1/rwkv7_recurrence.py,NaiveRecurrentRWKV7,nn.Module,Naive recurrent RWKV7 kernel (DPLR delta rule).,nn.Module wrapper around `naive_recurrent_rwkv7` for L1 compliance.
L1,tasks/baseline/L1/sam3_position_encoding.py,Sam3PositionEncoding,nn.Module,Sinusoidal 2D position encoding for SAM3.,2D sinusoidal position encoding.
L1,tasks/baseline/L1/sam3_rope.py,Sam3RoPE2D,nn.Module,2D Rotary Position Embedding for SAM3 ViT attention.,2-D axial rotary position embedding for SAM3 ViT.
L1,tasks/baseline/L1/sam3_rope_attention.py,Sam3Attention,nn.Module,RoPE Attention for SAM3 tracker memory attention.,Multi-head attention with optional downsampling and separate kv_in_dim.
L1,tasks/baseline/L1/sam3_rope_attention.py,Sam3RoPEAttention,Sam3Attention,RoPE Attention for SAM3 tracker memory attention.,Attention with 2D rotary position encoding for the tracker.
L1,tasks/baseline/L1/sdpa.py,SDPA,nn.Module,Scaled dot-product attention primitive (L1).,Scaled dot-product attention.
L1,tasks/baseline/L1/segment_csr.py,SegmentCSR,nn.Module,CSR segment reduction via torch.segment_reduce.,
L1,tasks/baseline/L1/sigmoid.py,Sigmoid,nn.Module,Sigmoid activation: 1 / (1 + exp(-x)).,
L1,tasks/baseline/L1/sigmoid_topk.py,SigmoidTopK,nn.Module,Sigmoid top-k routing for Mixture-of-Experts.,Top-k selection with sigmoid weights.
L1,tasks/baseline/L1/silu.py,SiLU,nn.Module,SiLU (Swish) activation: x * sigmoid(x).,
L1,tasks/baseline/L1/silu_and_mul.py,SiluAndMul,nn.Module,SiLU-and-Mul activation with dual dispatch: CUDA (eager) and pure-PyTorch (compiled).,
L1,tasks/baseline/L1/silu_mul_quant_fp8.py,SiluMulQuantFp8,nn.Module,Fused SiLU-mul + per-token-group FP8 quantization with column-major scales.,Fused SiLU-mul + per-token-group FP8 quantization (colmajor scales).
L1,tasks/baseline/L1/sinusoidal_embed.py,SinusoidalEmbed,nn.Module,Sinusoidal time/position embedding for flow matching models.,Sinusoidal embedding with configurable frequency range.
L1,tasks/baseline/L1/softmax.py,Softmax,nn.Module,Softmax activation (via torch.nn.functional.softmax).,
L1,tasks/baseline/L1/softplus.py,Softplus,nn.Module,Softplus activation (L1).,Element-wise softplus: log(1 + exp(beta * x)) / beta.
L1,tasks/baseline/L1/sparse_mm.py,SparseMM,nn.Module,Sparse matrix multiply primitive for graph recommenders.,
L1,tasks/baseline/L1/squared_relu.py,SquaredReLU,nn.Module,"Squared ReLU activation: max(0, x)^2.",
L1,tasks/baseline/L1/squared_relu_and_mul.py,SquaredReluAndMul,nn.Module,SquaredReLU-and-Mul activation for BitNet b1.58's gated FFN.,Fused ``relu(gate)^2 * up`` for the BitNet gated FFN.
L1,tasks/baseline/L1/store_kvcache.py,StoreKVCache,nn.Module,Triton kernel for storing key/value into paged KV cache.,"NHD layout store: [num_blocks, block_size, num_kv_heads, head_dim]."
L1,tasks/baseline/L1/store_kvcache.py,StoreKVCacheHND,nn.Module,Triton kernel for storing key/value into paged KV cache.,"HND layout store: [num_blocks, num_kv_heads, block_size, head_dim]."
L1,tasks/baseline/L1/store_kvcache_fp8_mla.py,StoreKVCacheFP8MLA,nn.Module,MLA KV cache store and gather.,Store ``kv_c_normed`` and ``k_pe`` into MLA paged cache.
L1,tasks/baseline/L1/store_kvcache_fp8_mla.py,GatherKVCacheFP8MLA,nn.Module,MLA KV cache store and gather.,Gather and upconvert KV from FP8 MLA paged cache to BF16.
L1,tasks/baseline/L1/store_kvcache_fp8_mla.py,GatherAndDequantKVCacheMLA,nn.Module,MLA KV cache store and gather.,Gather FP8 MLA KV cache into a BF16 workspace using the
L1,tasks/baseline/L1/swiglu_oai.py,SwigluOai,nn.Module,OAI SwiGLU activation: (up + 1) * gate * sigmoid(alpha * gate) with clamping.,Clamped OAI SwiGLU: (up + 1) * gate * sigmoid(alpha * gate).
L1,tasks/baseline/L1/t5_layer_norm.py,T5LayerNorm,nn.Module,T5-style RMSNorm with fp32 variance computation.,
