folder,final_status_v11,fp_shard,fp_verdict,fp_rationale,xv1_slice,xv1_verdict,p2_slice,p2_verdict,p2_rationale,p2_hf_evidence,i_personally_read
autoformer,partial,1,partial,"AutoformerAttention is FFT-based AutoCorrelation (torch.fft.rfft / irfft + top-k delay aggregation), not standard scaled",partial_a,confirm_partial,slice_2,confirm_partial,FFT-based autocorrelation attention decomposes from torch primitives (torch.fft.rfft/irfft + topk/gather/roll); just no ,"autoformer/modeling_autoformer.py:509 — query_states_fft = torch.fft.rfft(query_states, n=tgt_len, dim=1); autoformer/modeling_autoformer.py:510 — key_states_fft = torch.fft.rfft(key_states, n=tgt_len",no
aya_vision,composable,1,composable,LLaVA-derived vision-language wrapper: vision tower (SigLIP) + projector (SwiGLU) + Cohere/Llama text. Compute leaves ar,,-,,-,,,no
bamba,partial,1,composable,Hybrid Mamba2 + Llama attention decoder. BambaMixer is Mamba2 (causal_conv1d + SSM + RMSNormGated); BambaAttention is Ll,,-,,-,v12: demoted to partial — partial-rotary consistency,,no
bark,composable,1,composable,GPT-NeoX style fused-QKV self-attention (causal or full) + 4x GELU MLP. Maps to encoder_attention.py (with fused QKV var,composable,confirm_composable,,-,,,no
bart,composable,1,composable,Standard BART encoder-decoder attention (q/k/v + EncoderDecoderCache) — directly matches whisper_attention's three sibli,,-,slice_8,confirm_composable,"Encoder-decoder seq2seq with separate q_proj/k_proj/v_proj/out_proj Linear, cross-attn via key_value_states, GELU FFN, s","modeling_bart.py:143 — class BartAttention(nn.Module); modeling_bart.py:180 — self.k_proj/v_proj/q_proj/out_proj = nn.Linear(embed_dim, embed_dim, bias=bias); modeling_bart.py:213 — is_cross_attention",no
beit,composable,1,composable,"ViT-style encoder with relative position bias (added as attn_mask to SDPA), separate q/k/v projections, GELU MLP, option",,-,,-,,,no
bert,composable,1,composable,Canonical BERT: separate q/k/v + LayerNorm + GELU MLP. Encoder-attention/encoder-mlp/bert-embeddings cover every compute,,-,,-,,,no
bert_generation,composable,1,composable,"Decoder variant of BERT — same compute leaves as bert (separate q/k/v + LayerNorm + GELU MLP), just trained with causal ",composable,confirm_composable,,-,,,no
big_bird,partial,1,partial,"BigBirdBlockSparseAttention is a custom block-sparse attention combining global, sliding-window, and random-block attent",partial_b,confirm_partial,slice_2,confirm_partial,BigBird block-sparse implementation is in pure PyTorch (matmul/softmax/gather on grouped block tensors) — decomposable b,big_bird/modeling_big_bird.py:213 — class BigBirdBlockSparseAttention(nn.Module); big_bird/modeling_big_bird.py:233-235 — bare nn.Linear q/k/v projections; big_bird/modeling_big_bird.py:1119 — BigBird,no
bigbird_pegasus,partial,1,partial,"Same block-sparse attention pattern as big_bird (BigBirdPegasusBlockSparseAttention), but in an encoder-decoder architec",partial_a,confirm_partial,slice_2,confirm_partial,Encoder block-sparse attention uses pure torch ops; missing kb-nano kernel.,bigbird_pegasus/modeling_bigbird_pegasus.py:191 — class BigBirdPegasusBlockSparseAttention; bigbird_pegasus/modeling_bigbird_pegasus.py:1072 — class BigBirdPegasusEncoderAttention (encoder dispatch); ,no
biogpt,composable,1,composable,"Pure BART-style decoder lineage (BartAttention, BartDecoderLayer). Maps directly to whisper_attention pattern.",,-,,-,,,no
bit,partial,1,partial,Big Transfer ResNet-v2 with WeightStandardizedConv2d (custom: applies BatchNorm to weights at every forward) + GroupNorm,partial_b,confirm_partial,slice_2,confirm_partial,"WeightStandardizedConv2d composes nn.functional.batch_norm + nn.functional.conv2d at every forward; pure torch ops, no c","bit/modeling_bit.py:82 — class WeightStandardizedConv2d(nn.Conv2d); bit/modeling_bit.py:121 — weight = nn.functional.batch_norm(self.weight.reshape(...), None, None, training=True, momentum=0.0, eps=s",no
bitnet,kb_nano_l4,1,kb_nano_l4,kb-nano has tasks/baseline/L4/bitnet.py whose docstring header explicitly targets 'microsoft/bitnet-b1.58-2B-4T' (W1.58A,l4,confirm_l4,,-,,,yes
blenderbot,composable,1,composable,Standard BART-style enc-dec attention. Maps cleanly to whisper_attention's three sibling classes.,,-,slice_8,confirm_composable,"Same enc-dec attention shape as BART (separate q/k/v/out_proj, cross-attn via key_value_states). Encoder pre-norm and de","modeling_blenderbot.py:129 — class BlenderbotAttention(nn.Module); modeling_blenderbot.py:166 — self.k_proj/v_proj/q_proj/out_proj = nn.Linear(embed_dim, embed_dim, bias=bias); modeling_blenderbot.py:",no
blenderbot_small,composable,1,composable,"Same BART-style enc-dec architecture as Blenderbot, smaller hidden size. Maps to whisper_attention.",,-,,-,,,no
blip/blip,composable,1,composable,BLIP vision encoder is ViT-style with fused QKV (matches vit_encoder_attention) + two-layer GELU MLP (matches clip_mlp/e,composable,confirm_composable,,-,,,no
blip/blip_text,composable,1,composable,BERT-derived text encoder with optional cross-attention to vision features. Maps to encoder_attention (self) + whisper_a,,-,,-,,,no
blip_2,composable,2,composable,Vision encoder is CLIP-style MHA + GELU MLP; Q-Former is BERT-derived self/cross attention with standard linear/softmax;,,-,,-,,,no
bloom,partial,2,composable,ALiBi-biased multi-head attention via additive bias on attention scores -- supported by L1/dense_attention or L1/flash_a,partial_a,confirm_partial,slice_2,confirm_partial,ALiBi attention is pure torch (baddbmm + softmax + matmul); decomposable. The fast (flash_attn) path is missing alibi su,bloom/modeling_bloom.py:45 — def build_alibi_tensor(...); bloom/modeling_bloom.py:267 — attention_scores = alibi.baddbmm(...) (alibi additive bias); bloom/modeling_bloom.py:507 — alibi = self.build_al,yes
blt,composable,2,composable,"BLT extends Mllama: Llama-style self-attn + cross-attn with QK-RMSNorm. SwiGLU MLP, RMSNorm, interleaved RoPE.",,-,,-,,,no
bridgetower,partial,2,composable,Vision tower: CLIP-style ResidualAttention using nn.MultiheadAttention; text tower: BERT-style self/cross attention; cro,composable,confirm_composable,slice_2,confirm_partial,Compute decomposes from sdpa/dense_attention. nn.MultiheadAttention wrapper has no kb-nano L2 equivalent.,"bridgetower/modeling_bridgetower.py:106 — class BridgeTowerResidualAttention; bridgetower/modeling_bridgetower.py:110 — self.attn = nn.MultiheadAttention(config.hidden_size, config.hidden_size // 64)",yes
bros,composable,2,composable,"BERT-derived encoder with sinusoidal 2D bbox positional bias added to attention scores. All compute (linear, layernorm, ",,-,,-,,,no
camembert,composable,2,composable,Camembert is RoBERTa-derived (BERT-style encoder); all compute classes map to encoder_attention/encoder_mlp/embeddings.,,-,,-,,,no
canine,composable,2,composable,"BERT-style encoder with characters-to-molecules downsampling via Conv1d, ConvProjection upsampling, and optional block-w",,-,,-,,,no
chameleon,composable,2,composable,Decoder = Llama-style GQA attention with QK-LayerNorm + SwiGLU MLP + RMSNorm + RoPE. VQ-VAE encoder = Conv2d + GroupNorm,composable,confirm_composable,,-,,,no
chinese_clip,composable,2,composable,"Text encoder is BERT-style (encoder_attention/encoder_mlp), vision encoder is CLIP-style (clip_attention/clip_mlp). All ",,-,slice_8,confirm_composable,"Two encoders: ChineseCLIPText* (BERT-style: pre-attn LayerNorm absent, post-attn output Linear+LN+residual) and ChineseC",modeling_chinese_clip.py:241 — class ChineseCLIPTextSelfAttention; modeling_chinese_clip.py:255 — self.query/key/value = nn.Linear(...); modeling_chinese_clip.py:296 — class ChineseCLIPTextSelfOutput ,no
chmv2,partial,2,unsupported,Depth estimation model that loads its backbone via HF AutoBackbone (load_backbone) -- requires a separate vision backbon,unsupported,downgrade_to_partial,slice_2,demote_to_unsupported,Depends on transformers.backbone_utils.load_backbone (AutoBackbone/timm). No kb-nano abstraction for this; the decoder h,"chmv2/modular_chmv2.py:23 — from ...backbone_utils import consolidate_backbone_kwargs_to_config, load_backbone; chmv2/modular_chmv2.py:486 — self.backbone = load_backbone(config); chmv2/modeling_chmv2",yes
clap,composable,2,composable,Audio tower is Swin-style window attention with relative position bias (table lookup) + RoBERTa text tower. Compute prim,,-,,-,,,no
clip,composable,2,composable,CLIP text and vision encoders use separate Q/K/V MHA + QuickGELU MLP; both have direct kb-nano L2 mappings (clip_attenti,,-,,-,,,no
clipseg,composable,2,composable,CLIPSeg shares CLIP text+vision encoders (clip_attention/clip_mlp). The decoder uses CLIPEncoderLayer with a small per-l,composable,confirm_composable,slice_8,confirm_composable,CLIP-style encoder + small ConvTranspose2d decoder + FiLM modulation. All compute primitives (q_proj/k_proj/v_proj/out_p,modeling_clipseg.py:269 — class CLIPSegAttention (k_proj/v_proj/q_proj/out_proj = nn.Linear); modeling_clipseg.py:327 — class CLIPSegMLP (fc1+ACT+fc2); modeling_clipseg.py:519 — nn.ConvTranspose2d in ,no
clvp,composable,2,composable,"CLVP encoder/decoder use RMSNorm, partial RoPE (rotary applied to q/k/value subsets), GLU MLP (gated chunk pattern). All",,-,,-,,,no
codegen,partial,2,composable,"GPT-J derivative: fused QKV with mp_num=4 split, partial NeoX RoPE (rotary_dim), MHA with no GQA, fc1+gelu_new+fc2 MLP, ",,-,,-,,,yes
cohere,partial,2,composable,"Llama-derived: GQA attention with optional QK-LayerNorm, SwiGLU MLP, custom CohereLayerNorm (centered LayerNorm = standa",,-,,-,,,yes
cohere2,partial,2,composable,"Cohere2 extends Cohere with sliding-window attention (SWA), Gemma2-style hybrid local/global attention. Same compute pri",composable,confirm_composable,slice_8,downgrade_to_partial,"Two structural mismatches with kb-nano L2/attention.py: (1) Cohere2LayerNorm is centered LayerNorm (mean-subtracted), no","modeling_cohere2.py:108 — class Cohere2LayerNorm; modeling_cohere2.py:118 — mean = hidden_states.mean(-1, keepdim=True); variance = (hidden_states - mean).pow(2).mean(...) (centered, NOT RMSNorm); mod",no
cohere2_vision,partial,2,composable,VLM pipeline: SigLIP-style vision tower + Cohere2 LM + multi-modal projector (pixel-shuffle + SwiGLU). All sub-modules m,,-,slice_8,downgrade_to_partial,Inherits cohere2 (text) + siglip vision via AutoModel. Text path has the same partial issues as cohere2 (centered LN + i,configuration_cohere2_vision.py:45 — vision_config['model_type'] = 'siglip_vision_model' (default); configuration_cohere2_vision.py:58 — text_config['model_type'] = 'cohere2'; modeling_cohere2_vision.,no
cohere_asr,composable,2,composable,Whisper-style ASR derived from Moonshine: encoder (conv stem + self-attention) + decoder (self+cross attention with sepa,,-,,-,,,no
colmodernvbert,composable,2,composable,Pure retrieval wrapper around an underlying ModernVBert/ColPali VLM. Adds embedding projection + L2 normalization. No ne,,-,,-,,,no
colpali,composable,2,composable,Retrieval wrapper around PaliGemma VLM (AutoModel.from_config). Adds linear embedding projection + L2 normalization. No ,composable,confirm_composable,,-,,,no
colqwen2,composable,2,composable,Retrieval wrapper around Qwen2-VL VLM. Same pattern as ColPali: AutoModel + projection + L2 norm.,,-,slice_8,confirm_composable,Tiny wrapper around AutoModel('qwen2_vl') + a single embedding_proj_layer Linear and L2 normalization. kb-nano has L4/qw,configuration_colqwen2.py:49 — self.vlm_config = CONFIG_MAPPING['qwen2_vl'](); modeling_colqwen2.py:115 — self.vlm = AutoModel.from_config(config.vlm_config); modeling_colqwen2.py:118 — self.embedding,no
conditional_detr,partial,2,unsupported,DETR-derived object detector that loads its CNN backbone via transformers.backbone_utils.load_backbone (typically ResNet,unsupported,downgrade_to_partial,slice_2,demote_to_unsupported,Depends on load_backbone (AutoBackbone/timm); no kb-nano backbone abstraction exists.,"conditional_detr/modeling_conditional_detr.py:29 — from ...backbone_utils import load_backbone; conditional_detr/modeling_conditional_detr.py:250 — Convolutional backbone, using either the AutoBackbon",yes
convbert,composable,2,composable,BERT-derived encoder with span-based dynamic convolutions inside attention (SeparableConv1D + GroupedLinearLayer + softm,,-,,-,,,no
convnext,composable,2,composable,Pure convolutional backbone: depthwise Conv2d + LayerNorm + pointwise Conv2d + GELU + DropPath. All primitives in L1 (co,,-,,-,,,no
convnextv2,kb_nano_l4,2,kb_nano_l4,ConvNeXt V2 has a dedicated kb-nano L4 pipeline at tasks/baseline/L4/convnextv2.py.,l4,confirm_l4,,-,,,yes
cpmant,composable,2,composable,"Llama-style RMSNorm + Gated GELU MLP + standard MHA with relative-position bias added to scores. All compute (linear, rm",composable,confirm_composable,slice_8,confirm_composable,RMSNorm + GELU-gated MLP + dense attention with additive segment-relative position bias. The bias scheme is custom but o,"modeling_cpmant.py:36 — class CpmAntLayerNorm (RMS-style: variance.mean, no mean-subtraction); modeling_cpmant.py:128 — score = matmul(q, k.transpose) / sqrt(d); score = score + position_bias; modelin",no
csm,composable,3,composable,Llama-style backbone + LlamaForCausalLM-style depth decoder with codebook-specific linear head and audio token sum embed,,-,,-,,,no
ctrl,composable,3,composable,"Custom causal transformer with sinusoidal positional encoding, MHA with bare matmul-softmax-matmul, and Sequential FFN w",,-,slice_8,confirm_composable,"Causal LM with sinusoidal absolute position embedding, separate Wq/Wk/Wv/dense Linear, 2-layer ReLU FFN, LayerNorm. All ","modeling_ctrl.py:42 — positional_encoding via sin/cos (sinusoidal); modeling_ctrl.py:88 — self.Wq/Wk/Wv/dense = nn.Linear(d_model_size, d_model_size); modeling_ctrl.py:131 — point_wise_feed_forward_ne",no
cvt,composable,3,composable,Convolutional Vision Transformer: depthwise Conv2d projections for QKV + LayerNorm + standard scaled-dot-product attenti,,-,,-,,,no
cwm,composable,3,composable,CWM is Llama with Llama-3 RoPE scaling and per-layer sliding/full attention pattern; same Llama attention/MLP/RMSNorm pr,composable,confirm_composable,,-,,,no
d_fine,composable,3,composable,"D-Fine extends RT-DETR-V2 with a deformable cross-attention, integral box head, gating, and HGNetv2 backbone; all kernel",,-,,-,,,no
dab_detr,partial,3,composable,Standard DETR-style enc-dec with conditional cross-attention with q/k content/position projections; all compute is matmu,,-,slice_2,demote_to_unsupported,Depends on load_backbone (AutoBackbone/timm); no kb-nano backbone abstraction exists.,"dab_detr/modeling_dab_detr.py:24 — from ...backbone_utils import load_backbone; dab_detr/modeling_dab_detr.py:204 — Convolutional backbone, using either the AutoBackbone API or one from the timm libra",yes
dac,partial,3,partial,DAC audio codec uses Snake1d activation (x + 1/alpha * sin(alpha*x)^2) — kb-nano has silu/gelu/relu/swiglu but no Snake1,partial_b,confirm_partial,slice_2,confirm_partial,Snake1d (x + (alpha+eps)^-1 * sin(alpha*x)^2) decomposes from torch sin/pow/mul/add; no kb-nano kernel but trivially exp,"dac/modeling_dac.py:85 — class Snake1d(nn.Module); dac/modeling_dac.py:92 — self.alpha = nn.Parameter(torch.ones(1, hidden_dim, 1)); dac/modeling_dac.py:97 — hidden_states = hidden_states + (self.alph",yes
data2vec_audio,composable,3,composable,Inherits from Wav2Vec2: Conv1d feature extractor + LayerNorm + GELU + transformer encoder with positional Conv embedding,,-,slice_8,confirm_composable,Wav2Vec2-style: stack of Conv1d feature extractor with LayerNorm/group-conv positional encodings + standard transformer ,modeling_data2vec_audio.py:51 — class Data2VecAudioConvLayer (Conv1d + LayerNorm + GELU); modeling_data2vec_audio.py:89 — class Data2VecAudioPositionalConvLayer (groups=conv_pos_groups); modeling_data,no
data2vec_text,composable,3,composable,Inherits from RoBERTa (BERT-derived): encoder self-attention with token+position+type embeddings; all kernels via encode,composable,confirm_composable,,-,,,no
data2vec_vision,composable,3,composable,"BeiT-style ViT with relative position bias and SDPA attention; ops are conv2d (patch embed), layer_norm, linear, gelu, s",,-,,-,,,no
dbrx,composable,3,composable,DBRX is Llama-style attention with clipped fused QKV (Wqkv) + Mixtral-style MoE (DbrxExpertGLU is SwiGLU expert with wei,,-,,-,,,no
deberta,composable,3,composable,DeBERTa uses Disentangled Self-Attention (content + content-to-position + position-to-content gather-based scores). All ,,-,,-,,,no
deberta_v2,partial,3,composable,DeBERTa-v2 extends DeBERTa with bucket-style relative position attention + ConvLayer; same compute primitives (linear/ma,composable,downgrade_to_partial,slice_2,confirm_partial,"Compute decomposes from torch primitives (matmul, softmax, gather for relative-position bucketing) but no kb-nano kernel",deberta_v2/modeling_deberta_v2.py:137 — class DisentangledSelfAttention; deberta_v2/modeling_deberta_v2.py:159-161 — separate query_proj/key_proj/value_proj nn.Linear; deberta_v2/modeling_deberta_v2.p,no
decision_transformer,composable,3,composable,"GPT-2 style transformer (Conv1D fused QKV + MLP, LayerNorm, GELU/sdpa) wrapped for offline RL with state/action/return e",,-,,-,,,no
deepseek_v2,composable,3,composable,DeepSeek V2 is MLA attention + MoE with shared experts (Llama-style); kb-nano has L2/deepseek_mla_attention.py + L2/shar,,-,,-,,,yes
deepseek_v3,kb_nano_l4,3,kb_nano_l4,L4/deepseek.py is a full standalone DeepSeek V3.2 pipeline (MLA + MoE + grouped routing + YARN RoPE + FP8 + DSA indexer),l4,confirm_l4,,-,,,yes
deepseek_v4,partial,3,unsupported,"DeepSeek V4 introduces novel Heavily Compressed Attention (HCA), Compressed Sparse Attention (CSA), Indexer for sparse a",unsupported,downgrade_to_partial,slice_2,demote_to_unsupported,"V4 introduces multiple novel compute paths (HCA/CSA compression with custom cache layers, multi-type Laguna RoPE, HyperC",deepseek_v4/modeling_deepseek_v4.py:362 — class DeepseekV4HCACompressor (Heavily Compressed Attention); deepseek_v4/modeling_deepseek_v4.py:433 — class DeepseekV4Indexer (Lightning Indexer; eqs 13-17),yes
deepseek_vl,composable,3,composable,VL composes a SigLIP vision encoder + Llama text + a 2-layer MLP aligner (Linear+GELU+Linear); all parts available.,,-,,-,,,no
deepseek_vl_hybrid,partial,3,composable,Hybrid adds a SAM vision encoder branch with neck + DeepseekVLSamVisionProj (Conv2d twice) and a hybrid aligner (two Lin,composable,downgrade_to_partial,slice_2,confirm_partial,"Per-class compute is composable, but the high-res vision tower (SAM ViT) is loaded via AutoModel and has no kb-nano L4 p",deepseek_vl_hybrid/modeling_deepseek_vl_hybrid.py:272 — self.high_res_vision_model = AutoModel.from_config(config.high_res_vision_config); deepseek_vl_hybrid/modeling_deepseek_vl_hybrid.py:152 — class,no
deformable_detr,partial,3,composable,Deformable DETR uses MultiScaleDeformableAttention via grid_sample + standard transformer enc-dec. kb-nano has L1/grid_s,,-,slice_2,demote_to_unsupported,"Deformable attention itself is composable via rtdetrv2 ops, but load_backbone makes the model unrunnable end-to-end with",deformable_detr/modeling_deformable_detr.py:32 — from ...backbone_utils import load_backbone; deformable_detr/modeling_deformable_detr.py:301 — backbone = load_backbone(config); deformable_detr/modeli,yes
deimv2,composable,3,composable,Deim v2 inherits from D-Fine (which extends RT-DETR-V2) and uses DINOv3 ConvEncoder + RMSNorm + SwiGLU MLP + DFineMultis,,-,,-,,,no
deit,composable,3,composable,"DeiT is a standard ViT (patch embedding via Conv2d, fused QKV linear + LayerNorm + GELU MLP, learned position + cls/dist",,-,,-,,,no
depth_anything,composable,3,composable,DepthAnything composes a vision backbone (DINOv2 etc. via AutoBackbone) + reassemble (Conv1x1 + ConvTranspose) + feature,composable,confirm_composable,,-,,,no
depth_pro,composable,3,composable,DepthPro composes multi-scale ViT (AutoModel patch encoder) + image encoder + feature upsample (Conv + ConvTranspose sta,,-,,-,,,no
detr,partial,3,composable,Standard DETR enc-dec: ResNet backbone (AutoBackbone) + sinusoidal/learned position embeddings + standard MHA self/cross,,-,slice_2,demote_to_unsupported,Depends on load_backbone (AutoBackbone/timm); no kb-nano backbone-loading abstraction.,detr/modeling_detr.py:25 — from ...backbone_utils import load_backbone; detr/modeling_detr.py:261 — backbone = load_backbone(config),yes
dia,composable,3,composable,Dia (TTS) is a Llama-style enc-dec with Phi3 SwiGLU MLP and standard self/cross attention; all components covered (Llama,,-,,-,,,no
diffllama,unsupported,3,composable,DiffLlama is Llama with Differential Transformer attention (two SDPA halves combined as attn1 - lambda * attn2 + GroupNo,composable,downgrade_to_unsupported,slice_1,confirm_unsupported,"Differential attention requires a non-standard kernel: head dim is doubled, K/V split into two halves, two separate soft","modular_diffllama.py:90 — self.lambda_init = lambda_init_fn(layer_idx); modular_diffllama.py:91 — self.lambda_q1 = nn.Parameter(torch.normal(0, config.lambda_std_dev, size=(self.head_dim,))); modular_",yes
dinat,unsupported,4,unsupported,"NeighborhoodAttention requires natten library kernels (natten2dqkrpb, natten2dav); no kb-nano equivalent.",unsupported,confirm_unsupported,slice_1,confirm_unsupported,Requires the external natten library (CUDA neighborhood attention with dilation + RPB). No kb-nano equivalent. Confirm u,"modeling_dinat.py:39 — from natten.functional import natten2dav, natten2dqkrpb; modeling_dinat.py:281 — attention_scores = natten2dqkrpb(query_layer, key_layer, self.rpb, self.kernel_size, self.dilati",yes
dinov2,composable,4,composable,"Standard ViT-style encoder with separate Q/K/V SDPA, GELU MLP, optional fused-input SwiGLU FFN; all primitives exist in ",,-,,-,,,no
dinov2_with_registers,composable,4,composable,Same as Dinov2 but with register tokens prepended in embeddings; all leaf compute classes still map to encoder_attention,,-,,-,,,no
dinov3_convnext,composable,4,composable,"ConvNeXt-style hierarchical CNN: Conv2d (depthwise + pointwise), LayerNorm, GELU. All primitives exist in kb-nano L1.",,-,,-,,,no
dinov3_vit,kb_nano_l4,4,kb_nano_l4,"kb-nano L4/dinov3.py implements DINOv3 ViT (7B/16) with EvaBlock, dinov3_rope, layer-scale, SwiGLU MLP, register tokens.",l4,confirm_l4,,-,,,yes
distilbert,composable,4,composable,BERT-shaped encoder with separate Q/K/V Linear + non-causal SDPA + 2-layer FFN with configurable activation; covered by ,composable,confirm_composable,,-,,,no
doge,partial,4,partial,DogeAttention adds Dynamic-Mask-Attention (dt_proj + softplus + topk + scatter mask) on top of standard SDPA; DogeCDMoE ,partial_a,confirm_partial,slice_2,confirm_partial,"Compute decomposes from torch primitives (softplus, topk, scatter, embedding); no kb-nano kernel for DogeAttention mask ","doge/modular_doge.py:197 — class DogeAttention; doge/modular_doge.py:253 — dt_states = torch.exp(self.A * F.softplus(dt_states)).transpose(-1, -2); doge/modular_doge.py:281 — def prepare_dynamic_mask;",no
donut,composable,4,composable,"Donut-Swin v1 encoder: window-partitioned SDPA with relative-position-bias add, configurable-act FFN, patch merging via ",,-,,-,,,no
donut_swin,partial,,?,,,-,,-,,,yes
dots1,composable,4,composable,Qwen3-style attention (Q/K-norm + RoPE) + DeepseekV3 shared-expert MoE wrapper; all parts have kb-nano kernels (attentio,,-,,-,,,no
dpr,composable,4,composable,DPREncoder/Reader/Predictor are pure wrappers around BertModel + Linear projections; all compute lives in BERT primitive,,-,,-,,,no
dpt,composable,4,composable,Dense Prediction Transformer: ViT backbone (separate Q/K/V SDPA + GELU MLP) + Reassemble (Conv2d/ConvTranspose2d) + Feat,composable,confirm_composable,,-,,,no
edgetam,composable,4,composable,"EdgeTam is a SAM2 derivative: Sam2 Vision encoder (RepViT-style), Sam2 prompt encoder, Sam2 mask decoder with two-way at",,-,,-,,,no
edgetam_video,composable,4,composable,"EdgeTam video extends EdgeTam with 2D-RoPE memory attention, perceiver resampler and memory encoder. All custom classes ",,-,,-,,,no
efficientloftr,composable,4,composable,"EfficientLoFTR keypoint matcher: RepVGG-style CNN backbone (Conv2d + BN), aggregated attention with 2D RoPE on aggregate",,-,,-,,,no
efficientnet,composable,4,composable,EfficientNet v1 stem + MBConv blocks (expansion + depthwise + squeeze-excite + final). All ops are Conv2d / depthwise Co,composable,confirm_composable,,-,,,yes
electra,composable,4,composable,"BERT-shaped encoder (separate Q/K/V SDPA, GELU FFN), discriminator/generator heads. All compute classes covered by encod",,-,,-,,,no
emu3,composable,4,composable,Llama-style text decoder (LlamaAttention + LlamaMLP) plus Emu3 VQ-VAE for image tokens (Conv3d + GroupNorm + SiglipAtten,,-,,-,,,no
encodec,composable,4,composable,SEANet audio codec: weight-norm Conv1d/ConvTranspose1d + ELU + ResidualBlock + LSTM + EuclideanCodebook (residual VQ). A,,-,,-,,,no
encoder_decoder,composable,4,composable,EncoderDecoderModel is a pure wrapper that delegates to any encoder + decoder pair (e.g. BERT->GPT2). It contributes no ,composable,confirm_composable,slice_8,confirm_composable,"Generic wrapper: encoder = AutoModel.from_config(encoder_config), decoder = AutoModelForCausalLM.from_config(decoder_con","modeling_encoder_decoder.py:65 — class EncoderDecoderModel(PreTrainedModel, GenerationMixin); modeling_encoder_decoder.py:115 — encoder = AutoModel.from_config(config.encoder); modeling_encoder_decode",no
eomt,composable,4,composable,EoMT = Mask2Former-style universal segmentation built on a Dinov2 ViT backbone with SigLIP-style attention; queries are ,,-,,-,,,no
eomt_dinov3,composable,4,composable,EoMT applied on a DINOv3-ViT backbone (with 2D RoPE) plus the same Mask2Former-style segmentation head as EoMT. Backbone,,-,,-,,,no
ernie,composable,4,composable,Pure inheritance from BERT (encoder_attention + encoder_mlp + bert_embeddings) with task-id embedding added; no new comp,,-,,-,,,no
