hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
led,modeling_led.py,LEDModel;LEDEncoder;LEDDecoder;LEDForConditionalGeneration;LEDForQuestionAnswering,text,encoder-decoder (Longformer encoder),composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;encoder_decoder_cache→tasks/baseline/L4/recurrent_cache.py:RecurrentCache;batch_matmul→tasks/baseline/L1/bmm.py:BatchMatMul;tanh→tasks/baseline/L1/tanh.py:Tanh,,modeling_led.py:428;modeling_led.py:510;modeling_led.py:561,Longformer-style sliding-window encoder + standard cross-attention decoder. einsum (lines 428/510/561) is torch builtin (composes to bmm/matmul). Sparse global+local attention pattern is implemented in pure tensor ops.
levit,modeling_levit.py,LevitModel;LevitForImageClassification;LevitForImageClassificationWithTeacher,vision,vision encoder,partial,linear→tasks/baseline/L1/linear.py:Linear;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d→tasks/baseline/L1/batch_norm2d.py:BatchNorm2d;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention,batch_norm_1d(no L1 kernel; nn.BatchNorm1d in MLP block at lines 129/462);hardswish(no L1 class; nn.Hardswish at lines 92/97/102/162/239/309 — standard ACT2FN entry would need to torch fallback),modeling_levit.py:73;modeling_levit.py:129;modeling_levit.py:92,LeViT vision transformer with conv+BN stem and Hardswish activations. nn.BatchNorm1d (head MLP) and nn.Hardswish have no kb-nano L1 kernel. Inference path uses both.
lfm2,modeling_lfm2.py,Lfm2Model;Lfm2ForCausalLM,text,hybrid (Conv + Attention) decoder-only,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;conv1d→tasks/baseline/L1/conv1d.py:Conv1d;causal_conv1d→tasks/baseline/L2/mamba_mixer.py:MambaMixer;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_lfm2.py:1;modeling_lfm2.py:1;modeling_lfm2.py:1,Liquid LFM2 hybrid (alternating short conv blocks + attention blocks). causal_conv1d_fn imported from causal_conv1d package (kb-nano covers via vLLM-imported kernel in mamba_mixer).
lfm2_moe,modeling_lfm2_moe.py,Lfm2MoeModel;Lfm2MoeForCausalLM,text,hybrid (Conv + Attention) MoE,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;conv1d→tasks/baseline/L1/conv1d.py:Conv1d;causal_conv1d→tasks/baseline/L2/mamba_mixer.py:MambaMixer;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_lfm2_moe.py:1;modeling_lfm2_moe.py:1;modeling_lfm2_moe.py:1,LFM2 with MoE FFN. Same op surface as lfm2 plus topk/sigmoid routing.
lfm2_vl,modeling_lfm2_vl.py,Lfm2VlModel;Lfm2VlForConditionalGeneration,multimodal,VLM wrapper (vision + lfm2),composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;auto_model_wrapper→passthrough,,modeling_lfm2_vl.py:150;modeling_lfm2_vl.py:153;modeling_lfm2_vl.py:1,Multimodal wrapper that delegates vision/text via AutoModel.from_config. Concrete sub-models (vision encoder + lfm2) determine actual op coverage. Wrapper is trivial linear projection only.
lightglue,modeling_lightglue.py,LightGlueForKeypointMatching,vision,keypoint matching transformer,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;log_sigmoid→tasks/baseline/L1/log_sigmoid.py:LogSigmoid;sigmoid→tasks/baseline/L1/sigmoid.py:Sigmoid,,modeling_lightglue.py:86;modeling_lightglue.py:131;modeling_lightglue.py:351,Custom 2D rotary pos encoder for keypoints (interleaved layout) at line 100; semantically standard rotary covered by L1 RotaryEmbedding. Match assignment uses log_sigmoid + log_softmax (torch builtin).
lighton_ocr,modeling_lighton_ocr.py,LightOnOcrModel;LightOnOcrForConditionalGeneration,multimodal,VLM wrapper (vision + LLM),composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;gelu→tasks/baseline/L1/gelu.py:GELU;auto_model_wrapper→passthrough,,modeling_lighton_ocr.py:71;modeling_lighton_ocr.py:86;modeling_lighton_ocr.py:1,Multimodal wrapper delegating to AutoModel for vision and text. Patch merger uses nn.functional.unfold (passthrough). modular DSL.
lilt,modeling_lilt.py,LiltModel;LiltFor*(SeqCls/TokCls/QA),text+layout,encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;tanh→tasks/baseline/L1/tanh.py:Tanh,,modeling_lilt.py:1;modeling_lilt.py:1;modeling_lilt.py:1,RoBERTa-derived encoder with parallel layout-only sub-encoder; standard primitives.
llama4,modeling_llama4.py,Llama4Model;Llama4ForCausalLM;Llama4ForConditionalGeneration;Llama4TextModel;Llama4VisionModel,multimodal,decoder-only MoE + vision,kb_nano_l4,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_llama4.py:1;modeling_llama4.py:1;modeling_llama4.py:1,L4 pipeline exists at tasks/baseline/L4/llama4.py (Llama-4 Scout MoE+NoPE). torch.nn.Unfold (vision patch) is passthrough.
llava,modeling_llava.py,LlavaModel;LlavaForConditionalGeneration,multimodal,VLM wrapper,composable,linear→tasks/baseline/L1/linear.py:Linear;auto_model_wrapper→passthrough,,modeling_llava.py:133;modeling_llava.py:136;modeling_llava.py:1,Multimodal wrapper that uses AutoModel for vision_tower (CLIP/SigLIP) and language_model. Coverage depends on chosen sub-models (e.g. clip + llama). Wrapper itself is a Linear projection.
llava_next,modeling_llava_next.py,LlavaNextModel;LlavaNextForConditionalGeneration,multimodal,VLM wrapper,composable,linear→tasks/baseline/L1/linear.py:Linear;auto_model_wrapper→passthrough,,modeling_llava_next.py:256;modeling_llava_next.py:263;modeling_llava_next.py:1,Multimodal wrapper. Adds dynamic patch unpadding/un-tiling logic (pure tensor ops). Sub-models loaded via AutoModel.
llava_next_video,modeling_llava_next_video.py,LlavaNextVideoModel;LlavaNextVideoForConditionalGeneration,multimodal,VLM wrapper (video),composable,linear→tasks/baseline/L1/linear.py:Linear;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;avg_pool_2d→tasks/baseline/L1/avg_pool2d.py:AvgPool2d;max_pool_2d→tasks/baseline/L1/max_pool2d.py:MaxPool2d;auto_model_wrapper→passthrough,,modeling_llava_next_video.py:311;modeling_llava_next_video.py:318;modeling_llava_next_video.py:1,Video extension of LLaVA-Next. Pooler uses AvgPool2d/MaxPool2d (both in kb-nano L1). Sub-models via AutoModel.
llava_onevision,modeling_llava_onevision.py,LlavaOnevisionModel;LlavaOnevisionForConditionalGeneration,multimodal,VLM wrapper,composable,linear→tasks/baseline/L1/linear.py:Linear;interpolate→tasks/baseline/L1/interpolate.py:Interpolate;auto_model_wrapper→passthrough,,modeling_llava_onevision.py:271;modeling_llava_onevision.py:278;modeling_llava_onevision.py:1,Multimodal wrapper supporting images+video. Bilinear interpolate covered by L1.
longcat_flash,modeling_longcat_flash.py,LongcatFlashModel;LongcatFlashForCausalLM,text,decoder-only MoE,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_longcat_flash.py:1;modeling_longcat_flash.py:1;modeling_longcat_flash.py:1,Mixtral-style MoE LLM. Standard primitives.
longformer,modeling_longformer.py,LongformerModel;LongformerFor*(MaskedLM/SeqCls/TokCls/QA/MultipleChoice),text,sparse-attention encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;batch_matmul→tasks/baseline/L1/bmm.py:BatchMatMul;tanh→tasks/baseline/L1/tanh.py:Tanh,,modeling_longformer.py:783;modeling_longformer.py:865;modeling_longformer.py:916,Sliding-window + global-token sparse attention computed via einsum/bmm (torch builtins). No kernel-level sliding-window attention needed — pattern uses chunked dense matmul. einsum lines composable.
longt5,modeling_longt5.py,LongT5Model;LongT5EncoderModel;LongT5ForConditionalGeneration;LongT5Stack,text,encoder-decoder (T5 variant),composable,linear→tasks/baseline/L1/linear.py:Linear;t5_layer_norm→tasks/baseline/L1/t5_layer_norm.py:T5LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;encoder_decoder_cache→tasks/baseline/L4/recurrent_cache.py:RecurrentCache;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_longt5.py:454;modeling_longt5.py:624;modeling_longt5.py:849,T5 with local + transient-global attention variants. einsum used for QK/AV (composable to matmul). T5LayerNorm is RMSNorm-like — covered by t5_layer_norm.py:T5LayerNorm.
luke,modeling_luke.py,LukeModel;LukeFor*(MaskedLM/SeqCls/TokCls/QA/MultipleChoice/EntityClassification/EntityPairClassification/EntitySpanClassification),text,encoder + entity-aware,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;tanh→tasks/baseline/L1/tanh.py:Tanh,,modeling_luke.py:1;modeling_luke.py:1;modeling_luke.py:1,RoBERTa-style encoder with extra entity embeddings + entity-aware attention. binary_cross_entropy/cross_entropy are training-only.
lw_detr,modeling_lw_detr.py,LwDetrModel;LwDetrForObjectDetection;LwDetrViTBackbone,detection,ViT backbone + DETR-style decoder,partial,linear→tasks/baseline/L1/linear.py:Linear;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d→tasks/baseline/L1/batch_norm2d.py:BatchNorm2d;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;deformable_attention→tasks/baseline/L1/rtdetrv2_deformable_attention.py:MultiScaleDeformableAttentionV2;interpolate→tasks/baseline/L1/interpolate.py:Interpolate,conv_transpose2d(no L1 kernel; nn.ConvTranspose2d in upsampling neck at lines 569/571);grid_sample(standalone use; supported only inside deformable-attention L1),modeling_lw_detr.py:569;modeling_lw_detr.py:571;modeling_lw_detr.py:1,Light-Weight DETR. ViT backbone is composable. Detection neck uses two nn.ConvTranspose2d (lines 569/571) for upsampling — no kb-nano L1 kernel; same fallback convention as data2vec_vision seg head. grid_sample appears in extract; verify standalone vs deformable-internal usage.
lxmert,modeling_lxmert.py,LxmertModel;LxmertForPreTraining;LxmertForQuestionAnswering,multimodal,cross-modal encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;tanh→tasks/baseline/L1/tanh.py:Tanh,,modeling_lxmert.py:1;modeling_lxmert.py:1;modeling_lxmert.py:1,Cross-modal BERT-style encoder (vision + language) with cross-attention layers. Visual features pre-extracted (no vision backbone in this file).
m2m_100,modeling_m2m_100.py,M2M100Model;M2M100Encoder;M2M100Decoder;M2M100ForConditionalGeneration,text,encoder-decoder NMT,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;encoder_decoder_cache→tasks/baseline/L4/recurrent_cache.py:RecurrentCache;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_m2m_100.py:1;modeling_m2m_100.py:1;modeling_m2m_100.py:1,Standard BART-like encoder-decoder for NMT with sinusoidal positions (init-time).
mamba2,modeling_mamba2.py,Mamba2Model;Mamba2ForCausalLM,text,SSM,kb_nano_l4,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;conv1d→tasks/baseline/L1/conv1d.py:Conv1d;causal_conv1d→tasks/baseline/L2/mamba2_mixer.py:Mamba2Mixer;mamba_chunk→tasks/baseline/L2/mamba2_mixer.py:Mamba2Mixer;silu→tasks/baseline/L1/silu.py:SiLU,,modeling_mamba2.py:1;modeling_mamba2.py:1;modeling_mamba2.py:1,L4 pipeline exists at tasks/baseline/L4/mamba2.py. mamba_scan / chunked SSM and causal_conv1d via vLLM imports inside L2 mamba2_mixer.py.
marian,modeling_marian.py,MarianModel;MarianMTModel;MarianEncoder;MarianDecoder;MarianForCausalLM,text,encoder-decoder NMT,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;encoder_decoder_cache→tasks/baseline/L4/recurrent_cache.py:RecurrentCache;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_marian.py:1;modeling_marian.py:1;modeling_marian.py:1,BART-derived encoder-decoder MT. Sinusoidal positions init-time.
markuplm,modeling_markuplm.py,MarkupLMModel;MarkupLMFor*(SeqCls/TokCls/QA),text+structure,encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;relu→tasks/baseline/L1/relu.py:ReLU;tanh→tasks/baseline/L1/tanh.py:Tanh,,modeling_markuplm.py:1;modeling_markuplm.py:1;modeling_markuplm.py:1,RoBERTa-style encoder with XPath positional embeddings. All standard ops.
mask2former,modeling_mask2former.py,Mask2FormerModel;Mask2FormerForUniversalSegmentation,segmentation,encoder-decoder + deformable attention,partial,linear→tasks/baseline/L1/linear.py:Linear;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;group_norm→tasks/baseline/L1/group_norm.py:GroupNorm;deformable_attention→tasks/baseline/L1/rtdetrv2_deformable_attention.py:MultiScaleDeformableAttentionV2;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;interpolate→tasks/baseline/L1/interpolate.py:Interpolate,multihead_attention(nn.MultiheadAttention used directly at line 1585 — no kb-nano wrapper class);deformable_attention_v1_normalization(kb-nano has v2; numerical drift risk versus v1 — same caveat as deformable_detr in pilot),modeling_mask2former.py:1585;modeling_mask2former.py:1611;modeling_mask2former.py:2013,Pixel decoder uses MS-deformable attention v1; transformer decoder uses nn.MultiheadAttention directly (line 1585) for cross-attention. Two partial concerns: the bare nn.MultiheadAttention (no L2 wrapper in kb-nano) and v1-vs-v2 deformable normalization.
maskformer,modeling_maskformer.py,MaskFormerModel;MaskFormerForInstanceSegmentation;MaskFormerDetrDecoder,segmentation,encoder-decoder + DETR decoder,composable,linear→tasks/baseline/L1/linear.py:Linear;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;group_norm→tasks/baseline/L1/group_norm.py:GroupNorm;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;interpolate→tasks/baseline/L1/interpolate.py:Interpolate;relu→tasks/baseline/L1/relu.py:ReLU,,modeling_maskformer.py:1895;modeling_maskformer.py:1911;modeling_maskformer.py:1,DETR-style transformer decoder + per-pixel decoder. einsum at lines 1895/1911 is torch builtin. Backbone loaded via AutoBackbone (composable depending on chosen backbone). No deformable attention in this file.
maskformer,modeling_maskformer_swin.py,MaskFormerSwinModel;MaskFormerSwinBackbone,vision,Swin backbone,composable,linear→tasks/baseline/L1/linear.py:Linear;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;swin_window_attention→tasks/baseline/L2/swinv2_window_attention.py:SwinV2WindowSelfAttention,,modeling_maskformer_swin.py:729;modeling_maskformer_swin.py:1;modeling_maskformer_swin.py:1,Swin v1 backbone for MaskFormer. nn.AdaptiveAvgPool1d at line 729 in head — same partial-fallback convention as swin pilot row. Marking composable since adaptive pool only at head pooler (not inner loop) and pilot established this convention.
