hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
rt_detr_v2,rt_detr_v2/modeling_rt_detr_v2.py,RTDetrV2Decoder;RTDetrV2ForObjectDetection;RTDetrV2HybridEncoder;RTDetrV2Model;RTDetrV2PreTrainedModel,detection,hybrid encoder-decoder + deformable attention,kb_nano_l4,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;relu->tasks/baseline/L1/relu.py:ReLU;sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid;conv2d->tasks/baseline/L1/conv2d.py:Conv2d,grid_sample(no L1 grid_sample; torch.nn.functional fallback - composed inside L1 deformable_attention only),modeling_rt_detr_v2.py:152;modeling_rt_detr_v2.py:353;modeling_rt_detr_v2.py:823,L4 pipeline tasks/baseline/L4/rtdetrv2.py covers RT-DETR-v2 directly.
rwkv,rwkv/modeling_rwkv.py,RwkvForCausalLM;RwkvModel;RwkvPreTrainedModel,text,recurrent (RWKV v4 wkv linear attention),unsupported,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;relu->tasks/baseline/L1/relu.py:ReLU;sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid,wkv_linear_attention_v4(custom CUDA kernel; kb-nano has v7 only - chunk_rwkv7/fused_recurrent_rwkv7),modeling_rwkv.py:242;modeling_rwkv.py:334;modeling_rwkv.py:103,"RWKV v4 uses a custom WKV CUDA kernel (modeling_rwkv.py:42-214); kb-nano has chunk_rwkv7/fused_recurrent_rwkv7 (v7 only), not v4 wkv."
sam,sam/modeling_sam.py,SamModel;SamPreTrainedModel;SamVisionEncoder;SamVisionModel,multimodal,segmentation (vision encoder + prompt encoder + mask decoder),partial,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;matmul->tasks/baseline/L1/linear.py:Matmul;gelu->tasks/baseline/L1/gelu.py:GELU;relu->tasks/baseline/L1/relu.py:ReLU,conv_transpose2d(no L1 conv_transpose2d (torch.nn fallback)),modeling_sam.py:135;modeling_sam.py:294;modeling_sam.py:116,Mask decoder uses ConvTranspose2d (modeling_sam.py upsampling). Same convention as kb-nano sam3_mask_decoder uses torch.nn directly.
sam2,sam2/modeling_sam2.py,Sam2HieraDetModel;Sam2Model;Sam2PreTrainedModel;Sam2VisionModel,multimodal,segmentation (video-capable),partial,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;matmul->tasks/baseline/L1/linear.py:Matmul;gelu->tasks/baseline/L1/gelu.py:GELU;sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid,conv_transpose2d(no L1 conv_transpose2d (torch.nn fallback)),modeling_sam2.py:302;modeling_sam2.py:458;modeling_sam2.py:138,Mask decoder uses ConvTranspose2d via torch.nn (no L1 kernel).
sam2_video,sam2_video/modeling_sam2_video.py,Sam2VideoModel;Sam2VideoPreTrainedModel,multimodal,video segmentation,partial,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;matmul->tasks/baseline/L1/linear.py:Matmul;gelu->tasks/baseline/L1/gelu.py:GELU;sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid,conv_transpose2d(no L1 conv_transpose2d (torch.nn fallback)),modeling_sam2_video.py:456;modeling_sam2_video.py:527;modeling_sam2_video.py:1003,Mask decoder uses ConvTranspose2d via torch.nn (no L1 kernel).
sam3,sam3/modeling_sam3.py,Sam3DetrDecoder;Sam3DetrEncoder;Sam3MaskDecoder;Sam3Model;Sam3PreTrainedModel;Sam3ViTModel;Sam3VisionModel,multimodal,open-vocabulary segmentation,kb_nano_l4,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;matmul->tasks/baseline/L1/linear.py:Matmul;gelu->tasks/baseline/L1/gelu.py:GELU;relu->tasks/baseline/L1/relu.py:ReLU,conv_transpose2d(no L1 conv_transpose2d (torch.nn fallback)),modeling_sam3.py:286;modeling_sam3.py:726;modeling_sam3.py:562,L4 pipeline tasks/baseline/L4/sam3.py covers SAM3.
sam3_lite_text,sam3_lite_text/modeling_sam3_lite_text.py,Sam3LiteTextDetrDecoder;Sam3LiteTextDetrEncoder;Sam3LiteTextMaskDecoder;Sam3LiteTextModel;Sam3LiteTextPreTrainedModel;Sam3LiteTextTextModel,multimodal,open-vocabulary text encoder (mobile),composable,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;matmul->tasks/baseline/L1/linear.py:Matmul;relu->tasks/baseline/L1/relu.py:ReLU;sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid,,modeling_sam3_lite_text.py:239;modeling_sam3_lite_text.py:299;modeling_sam3_lite_text.py:98,Lite text encoder; standard ops + create_bidirectional_mask helper. Reuses SAM3 building blocks.
sam3_tracker,sam3_tracker/modeling_sam3_tracker.py,Sam3TrackerModel;Sam3TrackerPreTrainedModel,multimodal,video object tracker,kb_nano_l4,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;matmul->tasks/baseline/L1/linear.py:Matmul;gelu->tasks/baseline/L1/gelu.py:GELU;sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid,conv_transpose2d(no L1 conv_transpose2d (torch.nn fallback)),modeling_sam3_tracker.py:94;modeling_sam3_tracker.py:402;modeling_sam3_tracker.py:175,L4 pipeline tasks/baseline/L4/sam3_tracker.py exists.
sam3_tracker_video,sam3_tracker_video/modeling_sam3_tracker_video.py,Sam3TrackerVideoModel;Sam3TrackerVideoPreTrainedModel,multimodal,video object tracker (video extension),partial,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;matmul->tasks/baseline/L1/linear.py:Matmul;gelu->tasks/baseline/L1/gelu.py:GELU;sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid,conv_transpose2d(no L1 conv_transpose2d (torch.nn fallback)),modeling_sam3_tracker_video.py:461;modeling_sam3_tracker_video.py:532;modeling_sam3_tracker_video.py:1008,Inherits SAM3 tracker primitives + video-time aggregation; ConvTranspose2d in mask decoder via torch.nn fallback.
sam3_video,sam3_video/modeling_sam3_video.py,Sam3VideoModel;Sam3VideoPreTrainedModel,multimodal,video segmentation orchestrator,kb_nano_l4,sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid;pad->tasks/baseline/L1/tensor_ops.py:Pad,,modeling_sam3_video.py:1129;modeling_sam3_video.py:778;modeling_sam3_video.py:1127,L4 pipeline tasks/baseline/L4/sam3_video.py exists.
sam_hq,sam_hq/modeling_sam_hq.py,SamHQModel;SamHQPreTrainedModel;SamHQVisionEncoder;SamHQVisionModel,multimodal,high-quality segmentation,partial,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;matmul->tasks/baseline/L1/linear.py:Matmul;gelu->tasks/baseline/L1/gelu.py:GELU;relu->tasks/baseline/L1/relu.py:ReLU,conv_transpose2d(no L1 conv_transpose2d (torch.nn fallback)),modeling_sam_hq.py:141;modeling_sam_hq.py:332;modeling_sam_hq.py:479,SAM-HQ extends SAM with high-res tokens; uses ConvTranspose2d in mask decoder (no L1 kernel).
seamless_m4t,seamless_m4t/modeling_seamless_m4t.py,SeamlessM4TCodeHifiGan;SeamlessM4TDecoder;SeamlessM4TEncoder;SeamlessM4TForSpeechToSpeech;SeamlessM4TForSpeechToText;SeamlessM4TForTextToSpeech;SeamlessM4TForTextToText;SeamlessM4TModel;SeamlessM4TPreTrainedModel;SeamlessM4TSpeechEncoder;SeamlessM4TTextToUnitForConditionalGeneration;SeamlessM4TTextToUnitModel,audio+text,multimodal speech-to-text/text-to-speech,partial,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;batch_matmul->tasks/baseline/L1/bmm.py:BatchMatMul;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;relu->tasks/baseline/L1/relu.py:ReLU,conv_transpose1d(no L1 conv_transpose1d (torch.nn fallback));leaky_relu(no L1 leaky_relu (torch fallback));batch_norm_1d(no L1 batch_norm_1d (torch.nn fallback)),modeling_seamless_m4t.py:344;modeling_seamless_m4t.py:343;modeling_seamless_m4t.py:201,HiFi-GAN vocoder uses conv_transpose1d + leaky_relu + batch_norm_1d (no L1 kernels). Text encoder/decoder paths are composable.
seamless_m4t_v2,seamless_m4t_v2/modeling_seamless_m4t_v2.py,SeamlessM4Tv2CodeHifiGan;SeamlessM4Tv2Decoder;SeamlessM4Tv2Encoder;SeamlessM4Tv2ForSpeechToSpeech;SeamlessM4Tv2ForSpeechToText;SeamlessM4Tv2ForTextToSpeech;SeamlessM4Tv2ForTextToText;SeamlessM4Tv2Model;SeamlessM4Tv2PreTrainedModel;SeamlessM4Tv2SpeechEncoder;SeamlessM4Tv2TextToUnitDecoder;SeamlessM4Tv2TextToUnitForConditionalGeneration;SeamlessM4Tv2TextToUnitModel,audio+text,multimodal speech translation v2,partial,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;relu->tasks/baseline/L1/relu.py:ReLU;tanh->tasks/baseline/L1/tanh.py:Tanh,conv_transpose1d(no L1 conv_transpose1d (torch.nn fallback));leaky_relu(no L1 leaky_relu (torch fallback)),modeling_seamless_m4t_v2.py:254;modeling_seamless_m4t_v2.py:253;modeling_seamless_m4t_v2.py:299,Same as v1: vocoder uses conv_transpose1d + leaky_relu (no L1 kernels).
seed_oss,seed_oss/modeling_seed_oss.py,SeedOssForCausalLM;SeedOssForQuestionAnswering;SeedOssForSequenceClassification;SeedOssForTokenClassification;SeedOssModel;SeedOssPreTrainedModel,text,decoder-only LLM,composable,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;rotary_pos_emb->tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;dropout->tasks/baseline/L1/dropout.py:Dropout,,modeling_seed_oss.py:75;modeling_seed_oss.py:ACT2FN['__dynamic__'];modeling_seed_oss.py:397,Llama-style decoder-only with RoPE + RMSNorm + SDPA + KV cache.
segformer,segformer/modeling_segformer.py,SegformerForImageClassification;SegformerForSemanticSegmentation;SegformerModel;SegformerPreTrainedModel,vision,segmentation transformer,composable,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;relu->tasks/baseline/L1/relu.py:ReLU;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d->tasks/baseline/L1/batch_norm2d.py:BatchNorm2d;interpolate->tasks/baseline/L1/interpolate.py:Interpolate,,modeling_segformer.py:133;modeling_segformer.py:103;modeling_segformer.py:95,Hierarchical encoder + lightweight decoder; standard primitives. No conv_transpose used (uses interpolate + Linear).
seggpt,seggpt/modeling_seggpt.py,SegGptForImageSegmentation;SegGptModel;SegGptPreTrainedModel,vision,in-context segmentation transformer,composable,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;interpolate->tasks/baseline/L1/interpolate.py:Interpolate;dropout->tasks/baseline/L1/dropout.py:Dropout,,modeling_seggpt.py:224;modeling_seggpt.py:403;modeling_seggpt.py:108,ViT-style encoder/decoder with einsum-based attention pooling; standard primitives.
sew,sew/modeling_sew.py,SEWForCTC;SEWForSequenceClassification;SEWModel;SEWPreTrainedModel,audio,wav2vec-style encoder,partial,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;conv1d->tasks/baseline/L1/conv1d.py:Conv1d;group_norm->tasks/baseline/L1/group_norm.py:GroupNorm;dropout->tasks/baseline/L1/dropout.py:Dropout;pad->tasks/baseline/L1/tensor_ops.py:Pad,avg_pool_1d(no L1 avg_pool_1d (torch.nn fallback)),modeling_sew.py:175;modeling_sew.py:80;modeling_sew.py:52,Uses avg_pool_1d (no L1 kernel; torch.nn fallback). CTC loss is training-only.
sew_d,sew_d/modeling_sew_d.py,SEWDForCTC;SEWDForSequenceClassification;SEWDModel;SEWDPreTrainedModel,audio,wav2vec-style encoder (DeBERTa-style attention),partial,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;batch_matmul->tasks/baseline/L1/bmm.py:BatchMatMul;conv1d->tasks/baseline/L1/conv1d.py:Conv1d;group_norm->tasks/baseline/L1/group_norm.py:GroupNorm;dropout->tasks/baseline/L1/dropout.py:Dropout,avg_pool_1d(no L1 avg_pool_1d (torch.nn fallback)),modeling_sew_d.py:373;modeling_sew_d.py:274;modeling_sew_d.py:245,Uses avg_pool_1d (no L1 kernel).
shieldgemma2,shieldgemma2/modeling_shieldgemma2.py,ShieldGemma2ForImageClassification,multimodal,wrapper (Gemma3 image-text classifier),composable,softmax->tasks/baseline/L1/softmax.py:Softmax,,modeling_shieldgemma2.py:123,Wraps AutoModelForImageTextToText.from_config; itself only does softmax over logits. Underlying Gemma3 model coverage applies.
siglip,siglip/modeling_siglip.py,SiglipForImageClassification;SiglipModel;SiglipPreTrainedModel;SiglipTextModel;SiglipVisionModel,multimodal,CLIP-like vision-text encoder,composable,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;log_sigmoid->tasks/baseline/L1/log_sigmoid.py:LogSigmoid;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;interpolate->tasks/baseline/L1/interpolate.py:Interpolate,,modeling_siglip.py:270;modeling_siglip.py:331;modeling_siglip.py:124,SigLIP uses sigmoid-loss CLIP; vision/text towers are standard ViT/encoder. nn.MultiheadAttention head pooling reduces to SDPA.
siglip2,siglip2/modeling_siglip2.py,Siglip2ForImageClassification;Siglip2Model;Siglip2PreTrainedModel;Siglip2TextModel;Siglip2VisionModel,multimodal,CLIP-like vision-text encoder v2,kb_nano_l4,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;log_sigmoid->tasks/baseline/L1/log_sigmoid.py:LogSigmoid;interpolate->tasks/baseline/L1/interpolate.py:Interpolate;dropout->tasks/baseline/L1/dropout.py:Dropout,,modeling_siglip2.py:121;modeling_siglip2.py:359;modeling_siglip2.py:ACT2FN['__dynamic__'],L4 pipeline tasks/baseline/L4/siglip2.py exists.
slanet,slanet/modeling_slanet.py,SLANetBackbone;SLANetForTableRecognition;SLANetPreTrainedModel;SLANetSLAHead,vision,table structure recognition (PP-StructureV2),composable,linear->tasks/baseline/L1/linear.py:Linear;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;tanh->tasks/baseline/L1/tanh.py:Tanh;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d->tasks/baseline/L1/batch_norm2d.py:BatchNorm2d;interpolate->tasks/baseline/L1/interpolate.py:Interpolate;one_hot->tasks/baseline/L1/tensor_ops.py:OneHot,,modeling_slanet.py:96;modeling_slanet.py:202;modeling_slanet.py:ACT2FN['__dynamic__'],CSP backbone + decoder; standard CNN ops + Linear/MatMul. Uses upsample (=interpolate).
slanext,slanext/modeling_slanext.py,SLANeXtBackbone;SLANeXtForTableRecognition;SLANeXtPreTrainedModel;SLANeXtSLAHead;SLANeXtVisionEncoder,vision,SLA-Next table recognition,composable,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;tanh->tasks/baseline/L1/tanh.py:Tanh;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;interpolate->tasks/baseline/L1/interpolate.py:Interpolate;dropout->tasks/baseline/L1/dropout.py:Dropout,,modeling_slanext.py:59;modeling_slanext.py:286;modeling_slanext.py:405,Successor to SLANet; standard CNN+transformer primitives.
